State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
Nevada,5100650,165597,213638,4314411,140071,4007071,167834,2140842,69.5,1965779,82.3,1738587,56.4,1612906,67.6,3147950,1701500,251200,0,176694,1509526,2627682,509,581108,991810,165612,57,581005,866282,165564,55,N/A,69.5,N/A,82.3,52,1475565,61.8,2140842,482144,95,403123,81.3,186281,191278,25533,31,1099261,221638,1028420,2102917,80.2,1717776,65.5,581104,971007,165608,57,4254736,162283,194547,2140795,74,1738575,60.1,581104,991805,165609,57,4314351,149049,176214,504492,29,502150,31.1,360799,43.8,219236,54.4,212030,283614,8848,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New York State,39052505,200747,253172,34256514,176094,31564214,204627,16343955,84,14856332,95,13961789,71.8,12786149,82.9,23827285,13435720,1789500,0,1344059,12566165,20330689,15601,4800641,7953437,1203587,4124,4798084,6781663,1202630,3772,N/A,84,N/A,95,67,11853991,76.8,16343955,3374517,95,2925706,88.8,1381920,1358310,183872,1604,7938556,240844,1184790,15876430,94.7,13678603,81.6,4800070,7671070,1203406,4057,33507499,199768,232827,16342423,89.2,13961401,76.2,4800525,7953284,1203483,4109,34254491,186912,213092,4543102,32.5,4510445,35.3,3008478,47.6,1695530,58,2019212,2444709,78940,241,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ohio,19819985,169560,217537,15926401,136250,14800733,162448,7065757,60.4,6464942,71,6457896,55.2,5959427,65.4,11574425,7303860,941700,0,592463,6120829,9194351,18758,2312537,3609472,530921,4966,2311951,3111939,530678,4859,N/A,60.4,N/A,71,52,5584169,61.3,7065757,1864956,91.1,1761572,86.1,796162,872828,90143,2439,4788368,233999,968567,6872474,68.7,6323110,63.2,2312519,3474717,530909,4965,15594799,155937,198186,7065570,64.2,6457867,58.7,2312530,3609456,530915,4966,15926203,144806,180210,2647880,41,2631102,44.2,1898046,55.5,1160412,65.9,1155086,1445818,46547,429,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oklahoma,6255300,158083,208182,5308000,134143,4933275,164183,2612220,66,2404590,80,2116382,53.5,1954565,65,3463660,2474440,317200,0,143607,2160639,3002616,1138,815651,1166173,134367,191,815378,1004746,134272,169,N/A,66,N/A,80,50.7,1843432,61.4,2612220,658136,95,536362,84.4,272102,243952,20264,44,1483203,233527,984882,2562977,77.1,2086372,62.7,815630,1136202,134350,190,5228335,157233,188117,2611991,70.6,2116335,57.2,815633,1166158,134353,191,5307736,143397,168996,629469,29.7,626341,32,466797,44.3,297481,55.5,290909,330061,8476,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oregon,8510705,201784,253962,6831952,161981,6278572,187354,3121766,74,2823951,84.3,2802741,66.5,2558072,76.3,4901065,3157340,452300,0,260510,2564448,3995798,11196,974945,1585399,238740,3657,972066,1344583,237918,3505,N/A,74,N/A,84.3,62.3,2382918,71.1,3121766,739879,95,683440,89.2,308755,321691,51913,1081,1833763,239370,1110940,3020238,82.8,2734324,75,974941,1516994,238737,3652,6660462,182590,233313,3121750,78.2,2802734,70.2,974944,1585394,238739,3657,6831936,171230,213305,1092640,39,1085059,42.4,721559,55.5,452769,66.2,479651,595481,17179,329,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pennsylvania,25672555,200536,252499,20120946,157170,18626514,183199,10015911,78.2,9192127,90.4,8174643,63.9,7534580,74.1,14757055,9452900,1462600,0,689563,7862151,11567885,1347,2993697,4493578,686760,608,2991509,3856253,686253,565,N/A,78.2,N/A,90.4,58.6,6868727,67.6,10015911,2617693,95,2176834,91,1023956,1065140,87463,275,5910159,246940,1072660,9748285,88,7999176,72.2,2993516,4318370,686683,607,19671712,177518,231670,10014361,82.7,8174163,67.5,2993580,4493266,686709,608,20118968,166217,212099,2617172,32,2599296,34.5,1921119,45.2,1197661,55,1179262,1429324,8547,39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Puerto Rico,6436400,201535,245574,5916216,185247,5353169,204244,2840638,88.9,2528150,95,2459031,77,2213781,84.5,3949200,2276000,211200,0,145190,2315998,3454484,544,921826,1399989,137107,109,921402,1155377,136933,69,N/A,88.9,N/A,95,73.7,2110193,80.5,2840638,675843,95,584694,86,288880,272487,23311,16,1516534,223133,947008,2740552,95,2400154,84.3,921759,1341232,137056,107,5756367,202099,225974,2839863,92.3,2458834,79.9,921771,1399890,137064,109,5915280,192291,209231,698429,28.4,695433,31.4,472669,41.1,267351,45.7,290952,400934,6536,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rhode Island,2281705,215385,266908,1948994,183978,1789602,209343,942667,89,850584,95,809908,76.5,734016,85.9,1338765,855940,87000,0,62288,747132,1138221,1353,280452,471521,57607,328,280339,395771,57580,326,N/A,89,N/A,95,73.1,698072,81.7,942667,208902,95,183033,95,82501,93809,6601,122,507491,271319,1219860,910166,95,786908,84.8,280443,448532,57606,327,1900621,204921,246008,942595,93.8,809900,80.6,280448,471519,57606,327,1948915,193953,227071,337466,41.7,334435,45.6,228160,59.2,128505,70.2,149768,183748,3932,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Republic of Palau,36490,169469,220045,36970,171698,33277,200669,18765,87.1,16791,95,16532,76.8,14805,89.3,7490,25200,3800,0,2336,28866,5766,2,11988,2202,2341,1,11988,475,2341,1,N/A,87.1,N/A,95,66.9,12684,76.5,18765,1800,90.4,1729,86.8,1480,22,227,0,4231,212400,1831830,18143,95,16101,86.4,11988,1771,2341,1,35920,192652,195709,18764,92.1,16532,81.1,11988,2202,2341,1,36969,181461,179110,4314,26.1,4314,29.1,2380,41.8,989,57.2,4305,9,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Carolina,8820565,171316,218464,6713342,130389,6290888,155810,3231719,62.8,2993315,74.1,2735224,53.1,2549696,63.1,4937425,3446740,436400,0,216967,2639628,3854705,2042,999372,1538848,196656,348,997317,1355975,196058,346,N/A,62.8,N/A,74.1,50.2,2398030,59.4,3231719,927575,95,797639,85.1,340900,426009,30526,204,2148772,229319,941339,3171664,71.8,2700100,61.1,999259,1503881,196612,348,6620710,149791,199561,3230577,66.5,2734689,56.3,999297,1538430,196614,348,6711645,138206,181633,849471,31.1,845694,33.2,663747,44.2,435890,54.6,364201,467806,17014,450,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
