State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
South Dakota,1581285,178745,236876,1261116,142554,1159843,173744,627309,70.9,569318,85.3,505031,57.1,463316,69.4,871645,623240,86400,0,38582,499863,722539,132,189328,278860,36811,32,189262,237241,36781,32,N/A,70.9,N/A,85.3,53.7,433356,64.9,627309,170212,95,139067,91.6,69216,64972,4859,20,376109,247650,1041200,609247,82.5,493851,66.9,189326,267687,36806,32,1231547,166853,214237,627271,76.2,505022,61.3,189326,278857,36807,32,1261075,153137,192022,172309,34.1,171493,37,128347,49.2,81406,58.5,80023,90227,2051,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tennessee,10882740,159357,204597,8922799,130657,8391707,157765,4010333,58.7,3722006,70,3507440,51.4,3280815,61.7,6465000,3927940,489800,0,247923,3436303,5193269,45304,1267654,2006690,222742,10354,1267093,1781035,222461,10226,N/A,58.7,N/A,70,48.9,3113335,58.5,4010333,1031828,90.2,945817,82.7,469954,435261,35107,5495,2664607,233044,951793,3936625,67.5,3459720,59.3,1267619,1959092,222693,10316,8799602,150793,186490,4009744,62.5,3507315,54.6,1267637,2006621,222705,10352,8922075,138961,169498,1230753,35.1,1224320,37.3,904641,48.9,565806,59.8,527896,683859,16808,2190,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Texas,51893335,178968,240291,40612073,140062,36653192,169722,19372135,66.8,17196108,79.6,16517363,57,14912273,69.1,31555075,17802460,2535800,0,1446070,15232590,23929915,3498,5867694,9378321,1270763,585,5863294,7779297,1269140,542,N/A,66.8,N/A,79.6,53.5,13895879,64.3,19372135,3526149,94.4,3147839,84.3,1501458,1472791,173372,218,8531154,228458,1389670,18810274,78,16212326,67.3,5867040,9074320,1270400,566,39704670,164742,215315,19367496,71.7,16516176,61.2,5867188,9377895,1270508,585,40606304,150366,192162,4639917,28.1,4603573,30.9,3042901,43.6,1687361,53.6,2107449,2458594,73732,142,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Utah,5402000,168499,237474,4522177,141055,4002066,175932,2160299,67.4,1872653,82.3,1885083,58.8,1661484,73,3338840,1830760,232400,0,170698,1613410,2737773,296,632837,1092176,160061,9,632398,869214,159863,9,N/A,67.4,N/A,82.3,55,1540235,67.7,2160299,366599,95,330326,90.3,141724,172202,16399,1,904065,247099,1476470,2070226,79.9,1832274,70.7,632783,1039463,160019,9,4378548,168909,208390,2159869,73,1884992,63.7,632815,1092136,160032,9,4521673,152854,182614,567274,30.1,563460,33.9,348162,50.3,204046,61.8,226224,333074,7975,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Virginia,16881235,197776,252915,14449479,169286,13099409,196256,6740349,79,6021782,90.2,5800214,68,5208440,78,10396575,5734960,749700,0,473138,5202788,8765691,7862,1935423,3433479,428301,3011,1929741,2849905,426075,2719,N/A,79,N/A,90.2,64.5,4914636,73.6,6740349,1404070,95,1221431,89.9,570043,579020,71464,904,3401551,250315,1242270,6491488,88.8,5626494,77,1935208,3260831,427533,2922,14018702,191854,231029,6739030,83.9,5799772,72.2,1935287,3433267,428209,3009,14447792,179922,210226,2096635,36.1,2077760,39.9,1390458,53.2,796122,65.2,920922,1141067,34337,309,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Veterans Health,7529400,N/A,N/A,6946889,N/A,6943632,N/A,3332261,N/A,3330404,N/A,2910351,N/A,2908942,N/A,3247140,3664360,617900,0,247414,3567384,3131809,282,1427388,1252702,230250,11,1427328,1251394,230209,11,N/A,N/A,N/A,N/A,0,2712483,0,3332261,1642958,0,1486988,0,812490,598672,75825,1,3695271,0,0,3332142,0,2910277,0,1427366,1252657,230243,11,6946698,0,0,3332157,0,2910281,0,1427366,1252660,230244,11,6946717,0,0,923238,31.7,923216,31.7,855441,37.3,635703,42.8,479368,427616,16254,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Virgin Islands,134690,126719,165250,129938,122249,122869,150747,63307,59.6,59326,72.8,53783,50.6,50732,62.2,96750,35540,2400,0,2094,38602,89242,0,15081,36782,1915,5,15053,33766,1908,5,N/A,59.6,N/A,72.8,48.9,48970,60.1,63307,17211,84,14913,72.8,5907,8474,528,4,37006,180711,657730,62520,69.9,53384,59.7,15073,36394,1912,5,128766,143993,150618,63246,63.5,53758,54,15074,36767,1912,5,129852,130342,135198,11877,22.1,11838,23.3,9440,30.6,5549,37.2,4159,7610,106,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vermont,1427030,228695,279819,1249496,200243,1137685,223082,557157,89.3,497724,95,482925,77.4,433081,84.9,801170,556160,69700,0,51174,492832,704610,880,172669,263921,46070,265,172611,214231,45991,248,N/A,89.3,N/A,95,72.9,405347,79.5,557157,140134,95,124714,95,60242,61742,2575,155,364884,291816,1141270,532510,95,464148,84.2,172653,245177,46053,265,1205693,218839,259013,557059,93.6,482915,81.2,172668,263917,46065,265,1249408,210004,239859,235609,48.8,233056,53.8,159637,65.1,92490,74.2,104865,127016,3712,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Washington,15170785,199225,254893,12580215,165205,11509209,193373,5760712,75.7,5187843,87.2,5171727,67.9,4695099,78.9,9091165,5355220,724400,0,459902,4755058,7355853,9402,1820780,2915328,432506,3113,1819986,2439907,432167,3039,N/A,75.7,N/A,87.2,63.7,4374883,73.5,5760712,1204673,95,1108347,91.6,505045,544133,57623,1546,3035749,250946,1254070,5569782,85.7,5040184,77.5,1820707,2783901,432469,3107,12257018,188543,233363,5759998,80.5,5171608,72.2,1820757,2915259,432480,3112,12579364,175728,211929,1957263,37.8,1942915,41.4,1261520,55.7,744160,67.1,882966,1047075,26708,514,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wisconsin,10100595,173477,221707,9114543,156542,8418681,184789,3972346,68.2,3601635,79.1,3607515,62,3301306,72.5,5975935,3678560,446100,0,322012,3534403,5256338,1790,1294838,2020520,291565,592,1294477,1714917,291347,565,N/A,68.2,N/A,79.1,58.6,3105020,68.2,3972346,1019514,95,950813,93.5,457199,463265,30096,253,2712606,266663,992938,3849138,77,3520141,70.4,1294802,1933210,291538,591,8902973,178067,202020,3972050,72.3,3607471,65.7,1294829,2020501,291549,592,9114216,165956,183917,1600126,44.4,1590440,48.2,1131276,60.9,687736,72.3,687542,890425,22104,55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Virginia,3344485,186619,233459,2490508,138968,2346955,163827,1109524,61.9,1031604,72,986688,55.1,923854,64.5,2022845,1165240,156400,0,63838,1080327,1344726,1617,409874,517891,58481,442,409423,455611,58409,411,N/A,61.9,N/A,72,52.4,877112,61.2,1109524,333931,91,304047,82.8,155599,138826,9431,191,828621,225776,911277,1089308,69.9,974298,62.5,409783,505611,58464,440,2457972,157781,214688,1109130,65.3,986456,58.1,409797,517751,58466,442,2489811,146535,196836,369484,37.4,367744,39.8,282480,50.3,180399,59.3,176516,189144,3769,55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wyoming,845705,146124,190035,684672,118300,642255,144319,323245,55.9,299197,67.2,275046,47.5,257034,57.8,440245,358760,46700,0,27915,303316,352831,610,113313,136446,25173,114,113292,118482,25148,112,N/A,55.9,N/A,67.2,43.9,236290,53.1,323245,90916,91.7,81447,82.1,41488,36088,3818,53,216917,218713,852706,316821,64.6,271391,55.3,113312,132795,25170,114,674636,137479,172339,323217,59.4,275041,50.6,113312,136444,25171,114,684640,125893,155510,98480,35.8,98066,38.2,75387,50.6,49745,61.1,46180,50904,1359,37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
