USTotalNewCasesByDate,Dates
1,2020-01-22
0,2020-01-23
1,2020-01-24
0,2020-01-25
3,2020-01-26
0,2020-01-27
0,2020-01-28
1,2020-01-29
0,2020-01-30
2,2020-01-31
0,2020-02-01
0,2020-02-02
3,2020-02-03
0,2020-02-04
0,2020-02-05
1,2020-02-06
0,2020-02-07
0,2020-02-08
0,2020-02-09
0,2020-02-10
1,2020-02-11
0,2020-02-12
1,2020-02-13
0,2020-02-14
0,2020-02-15
0,2020-02-16
1,2020-02-17
1,2020-02-18
0,2020-02-19
0,2020-02-20
0,2020-02-21
0,2020-02-22
0,2020-02-23
1,2020-02-24
1,2020-02-25
1,2020-02-26
0,2020-02-27
0,2020-02-28
7,2020-02-29
13,2020-03-01
18,2020-03-02
22,2020-03-03
34,2020-03-04
71,2020-03-05
63,2020-03-06
170,2020-03-07
121,2020-03-08
92,2020-03-09
167,2020-03-10
361,2020-03-11
452,2020-03-12
626,2020-03-13
730,2020-03-14
388,2020-03-15
1433,2020-03-16
1783,2020-03-17
2706,2020-03-18
4507,2020-03-19
6401,2020-03-20
5992,2020-03-21
8888,2020-03-22
11156,2020-03-23
10618,2020-03-24
12127,2020-03-25
17821,2020-03-26
18591,2020-03-27
22164,2020-03-28
20165,2020-03-29
22154,2020-03-30
26381,2020-03-31
32035,2020-04-01
32089,2020-04-02
32204,2020-04-03
31891,2020-04-04
29242,2020-04-05
31729,2020-04-06
30065,2020-04-07
31078,2020-04-08
35611,2020-04-09
34339,2020-04-10
28913,2020-04-11
26451,2020-04-12
27042,2020-04-13
28476,2020-04-14
25630,2020-04-15
29669,2020-04-16
32794,2020-04-17
27561,2020-04-18
25641,2020-04-19
30026,2020-04-20
25941,2020-04-21
29477,2020-04-22
32421,2020-04-23
31942,2020-04-24
31871,2020-04-25
26140,2020-04-26
24697,2020-04-27
24441,2020-04-28
26606,2020-04-29
29063,2020-04-30
35273,2020-05-01
27311,2020-05-02
23883,2020-05-03
23880,2020-05-04
23935,2020-05-05
24487,2020-05-06
27500,2020-05-07
27347,2020-05-08
24550,2020-05-09
18819,2020-05-10
19061,2020-05-11
23231,2020-05-12
19963,2020-05-13
25974,2020-05-14
24881,2020-05-15
24129,2020-05-16
18460,2020-05-17
22590,2020-05-18
20551,2020-05-19
22571,2020-05-20
25381,2020-05-21
23924,2020-05-22
20156,2020-05-23
20182,2020-05-24
18921,2020-05-25
18750,2020-05-26
18944,2020-05-27
21068,2020-05-28
25241,2020-05-29
23138,2020-05-30
18292,2020-05-31
17264,2020-06-01
21210,2020-06-02
19299,2020-06-03
28051,2020-06-04
26370,2020-06-05
20342,2020-06-06
17742,2020-06-07
16922,2020-06-08
20287,2020-06-09
21649,2020-06-10
22079,2020-06-11
25786,2020-06-12
24071,2020-06-13
19092,2020-06-14
20952,2020-06-15
24669,2020-06-16
27020,2020-06-17
27780,2020-06-18
31810,2020-06-19
31838,2020-06-20
25915,2020-06-21
29552,2020-06-22
38330,2020-06-23
36350,2020-06-24
39107,2020-06-25
49551,2020-06-26
41268,2020-06-27
42262,2020-06-28
41660,2020-06-29
49381,2020-06-30
49502,2020-07-01
54583,2020-07-02
51991,2020-07-03
45949,2020-07-04
53573,2020-07-05
42983,2020-07-06
56561,2020-07-07
61043,2020-07-08
59384,2020-07-09
68781,2020-07-10
60736,2020-07-11
58821,2020-07-12
61000,2020-07-13
65061,2020-07-14
66334,2020-07-15
70352,2020-07-16
66654,2020-07-17
64716,2020-07-18
59180,2020-07-19
61121,2020-07-20
67170,2020-07-21
