State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 12+ who have received a booster dose,Percent of fully vaccinated people 12+ with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
District of Columbia,1787405,253264,309464,1426386,202110,1331994,230616,674502,95,616249,95,506697,71.8,467073,80.9,1081925,635580,69900,0,36132,513869,875523,862,173839,293507,38923,428,173756,254041,38880,396,N/A,95,N/A,95,68,440479,76.3,674502,98807,95,79709,91.3,42270,34474,2857,108,249584,285752,2046420,648609,95,490772,80.5,173830,277620,38902,420,1390888,228106,293135,674323,95,506661,76.7,173833,293480,38920,428,1426189,215965,270663,177994,35.1,177949,36.3,172557,36.9,44319,55.6,74975,101612,1360,47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,6633210,N/A,N/A,7271306,N/A,6788523,N/A,4110085,N/A,3832533,N/A,3109932,N/A,2909410,N/A,4261470,2161740,210000,0,321039,2407462,4520089,22716,963585,1858725,287444,178,963343,1658681,287214,172,N/A,N/A,N/A,N/A,0,2623086,0,4110085,356610,0,191422,0,66724,115106,9591,1,574841,0,0,4041311,0,3072348,0,963559,1821195,287416,178,7164690,0,0,4109851,0,3109865,0,963566,1858697,287424,178,7271018,0,0,1754,0.1,1753,0.1,1749,0.1,60,0,536,1185,33,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,2237055,229733,290454,1737708,178453,1583134,205551,797375,81.9,721137,93.6,659871,67.8,597957,77.6,1274455,865900,96700,0,61486,667313,1006827,2082,231875,370643,56679,674,231732,308949,56618,658,N/A,81.9,N/A,93.6,64.1,562513,73,797375,208746,95,177997,94.2,73416,94268,9968,345,509762,269850,1184220,770410,91.7,639670,76.2,231862,350467,56668,673,1689609,201190,266377,797211,86.7,659841,71.8,231864,370628,56675,674,1737520,189057,243411,289670,43.9,289609,45.3,280037,46.8,117684,66.1,124921,159707,5002,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,45840845,213434,265778,36228497,168679,33660070,195156,16797416,78.2,15454973,89.6,14190955,66.1,13104992,76,26545665,16951580,2343600,0,1459375,13379407,21255924,133791,4827842,7979187,1345606,38320,4825648,6897937,1343841,37566,N/A,78.2,N/A,89.6,61.4,12108531,70.2,16797416,4739905,95,4051849,90.1,1948589,1867963,214033,21264,11671683,259524,1019290,16402489,87.7,13891709,74.3,4826998,7681870,1344747,38094,35520953,189992,245190,16789131,82.6,14189211,69.8,4827102,7979027,1344791,38291,36219098,178086,225395,5475277,38.6,5474555,39.4,5367782,41,2429485,60,2363601,3004618,100821,6237,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,151100,147674,226455,106843,104420,88524,132672,60535,59.2,48658,72.9,49555,48.4,43420,65.1,51360,86940,12800,0,13111,74852,18855,25,30789,6518,12235,13,30783,416,12208,13,N/A,59.2,N/A,72.9,38.5,33322,49.9,60535,3763,78.2,3483,72.4,2370,20,1092,1,7003,145532,3140070,54364,68.7,46666,59,30788,3638,12227,13,97680,123424,190923,60522,65.2,49551,53.4,30789,6518,12231,13,106830,115092,162786,8388,16.9,8379,18,8362,19.3,815,23.4,7961,69,358,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,20752895,195461,255781,14409093,135712,13190672,162576,6847112,64.5,6191213,76.3,5710465,53.8,5208124,64.2,11852355,8080340,820200,0,335608,5604447,8430449,38589,2118519,3264827,315672,11447,2117452,2765288,315177,10207,N/A,64.5,N/A,76.3,51.6,4977965,61.4,6847112,1432565,94.4,1248983,82.3,680312,530941,35160,2570,3430971,226175,1368060,6648546,74,5572800,62,2118439,3127477,315536,11348,14062953,156462,230893,6845305,68.7,5710187,57.3,2118473,3264699,315573,11442,14407092,144637,208344,2015709,35.3,2015192,36.2,1965603,37.7,684777,54.8,899169,1091240,23842,1458,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,318660,189128,278199,333803,198116,288218,251622,150441,89.3,126961,95,135737,80.6,116621,95,210680,84780,23200,0,12930,105843,214856,174,39966,84927,10779,65,39949,65838,10769,65,N/A,89.3,N/A,95,75.2,107532,93.9,150441,17371,95,16288,95,6661,8995,609,23,44722,278451,1984060,142604,95,130396,95,39965,79588,10778,65,320257,243883,242667,150412,95,135736,88.9,39965,84927,10779,65,333773,218494,208600,54065,39.8,54050,41.5,51512,44.2,11281,69.3,19655,33234,1176,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,3327580,235020,298169,2815642,198863,2524924,226247,1224793,86.5,1080484,95,1096252,77.4,969254,86.9,1969860,1233320,124400,0,70416,1022400,1722533,293,361897,669581,64760,14,361011,543680,64549,14,N/A,86.5,N/A,95,74.6,929343,83.3,1224793,268426,95,244991,91.3,107446,125822,11719,4,694993,258893,1239560,1167757,95,1048345,86.6,361840,621760,64731,14,2712384,223959,274755,1223339,91.9,1095866,82.4,361849,669270,64733,14,2814487,211512,250071,544685,49.7,544605,51.9,522587,53.9,188976,77.1,243250,295453,5981,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,6273155,198828,258343,4936714,156469,4513517,185877,2124982,67.4,1915686,78.9,1931537,61.2,1745910,71.9,3585035,2399720,288400,0,176926,1960215,2799058,515,708817,1060398,161969,353,708589,875108,161872,341,N/A,67.4,N/A,78.9,57.9,1640414,67.6,2124982,546733,95,509071,92.1,267493,226912,14536,130,1452269,262638,1134480,2049098,76.6,1865899,69.7,708800,994784,161964,351,4794019,179130,234398,2124831,71.8,1931526,65.3,708812,1060394,161967,353,4936565,166808,211971,1000127,51.8,1000020,53.6,974332,55.8,398229,78.2,457877,528600,13615,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,3233290,180927,241495,2373982,132843,2176002,162526,1079804,60.4,977339,73,951636,53.3,862675,64.4,1821110,1256180,156000,0,86749,896074,1387817,3342,326826,543644,80379,787,326660,454939,80308,768,N/A,60.4,N/A,73,50,803109,60,1079804,274457,94.4,249471,85.8,114621,122321,12212,317,686714,236252,1112360,1046167,70,923298,61.7,326816,515343,80360,779,2313615,154715,216215,1079720,64.6,951593,57,326818,543625,80363,787,2373869,142074,193510,389980,41,389977,42.2,389800,45.2,165459,66.3,171359,212533,5998,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
