State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 12+ who have received a booster dose,Percent of fully vaccinated people 12+ with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,693429635,208859,268501,555112353,167198,502652851,194631,254071045,76.5,227254418,88,216147515,65.1,193936049,75.1,406293415,256743120,30393100,0,18481200,208926394,327196595,508164,75466367,123752051,16784377,144720,75379849,101665212,16753364,137624,N/A,76.5,N/A,88,61.8,182844529,70.8,254071045,56157333,95,48664393,88.8,23201763,23050977,2348986,62667,137293306,250572,1265570,244409645,86.2,208561814,73.6,75460185,116179144,16779393,143092,537773195,189677,244579,253992548,81.3,216121915,69.2,75463199,123732787,16781327,144602,555010195,177737,222064,95172197,44,95154097,45.6,91966683,47.4,32381262,66.5,41174523,52532768,1440193,24713,47796698,35689385,5242972,N/A,49057427,38385726,1343379,24512,44418948,3334788,32862,10100,2800321,32847626,33033,8405,1796001,2168265,1277192,1514,42157,35047,292,4493,92.9,7,0.1,0,7.8,92,0.1,0,34.3,41.4,24.4,0,51.4,42.7,0.4,5.5
Alaska,1453765,198725,263572,1098418,150150,986541,178863,502169,68.6,445565,80.8,446826,61.1,398744,72.3,808145,561920,83700,0,45830,423428,628187,973,159187,246417,41109,113,158755,198936,40946,107,N/A,68.6,N/A,80.8,56.5,365302,66.2,502169,85881,93.8,78190,85.4,42875,31601,3671,43,212535,232056,1587290,481185,79,430767,70.7,159180,230372,41102,113,1060850,174231,238762,501957,73.8,446751,65.7,159182,246352,41104,113,1098134,161380,213643,183818,41.1,183758,42.7,177106,44.4,55441,70.9,81775,99268,2752,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,9297840,189629,243726,6114853,124712,5712128,149733,3039324,62,2815797,73.8,2468635,50.3,2302616,60.4,4871280,4031360,395200,0,175234,2665183,3273956,480,1019359,1284694,163924,658,1018859,1119278,163826,653,N/A,62,N/A,73.8,47.9,2183995,57.2,3039324,809431,95,689868,81.2,366275,286323,36853,417,1835470,215979,1094070,2977573,71.1,2429672,58,1019340,1245761,163913,658,6011586,143582,222071,3038903,65.9,2468572,53.6,1019355,1284644,163915,658,6114377,132667,201740,850363,34.4,850261,35,837110,36.4,392948,57,419732,415297,15252,82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,5903220,195613,254707,4094174,135667,3737771,161274,1985499,65.8,1790768,77.3,1616263,53.6,1466675,63.3,3182260,2469560,251400,0,121822,1749142,2219335,3875,658018,845160,111894,1191,656846,697633,111344,852,N/A,65.8,N/A,77.3,50.9,1386029,59.8,1985499,495420,94.6,416562,79.5,233950,166413,15727,472,1153516,220186,1126820,1923165,75.2,1574002,61.6,657996,803350,111765,891,3989957,156025,230843,1983634,70.1,1615931,57.1,658005,844963,111773,1190,4092086,144630,208643,612573,37.9,612457,38.9,598355,40.8,260008,62.4,299874,302530,9725,444,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,105710,223055,337354,90428,190809,66318,211642,43144,91,30744,95,38607,81.5,27549,87.9,83610,21500,600,0,560,23182,66577,109,9213,28768,572,54,9193,17731,571,54,N/A,91,N/A,95,80.5,27102,86.5,43144,3046,92.9,2795,85.3,1171,1594,26,4,7106,216779,3224830,37280,95,33514,90.8,9212,23676,572,54,79403,215085,286345,43137,95,38607,89.6,9213,28768,572,54,90421,209745,245210,9301,24.1,9296,27.7,8743,31.7,1395,49.9,3720,5581,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,14144720,194330,250860,11595981,159314,10465858,185615,5215217,71.7,4623103,82,4389227,60.3,3937409,69.8,8122500,5417620,604600,0,363105,4564183,6643505,25188,1618585,2434820,329038,6784,1617844,1984330,328572,6663,N/A,71.7,N/A,82,57,3697974,65.6,5215217,1282685,95,1112099,85,541788,516317,50411,3583,3255486,248770,1080880,5006609,80.7,4248910,68.5,1618532,2294825,328792,6761,11237576,181074,227918,5214269,76.1,4388926,64.1,1618568,2434773,328801,6784,11594879,169295,206525,1748437,39.8,1747859,41.1,1687919,42.9,657474,59.1,771314,953381,22591,1151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,334530,N/A,N/A,304819,N/A,304817,N/A,142363,N/A,142361,N/A,132434,N/A,132433,N/A,169710,148720,16100,0,14161,136426,154200,32,52246,66709,13479,0,52246,66709,13478,0,N/A,N/A,N/A,N/A,0,122086,0,142363,3907,0,3640,0,1751,1694,195,0,9703,0,0,142361,0,132433,0,52246,66709,13478,0,304817,0,0,142361,0,132433,0,52246,66709,13478,0,304817,0,0,42631,32.2,42631,32.2,42631,32.2,2317,63.7,25559,16407,643,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,86269125,218335,281763,71834166,181802,64109502,209388,32371403,81.9,28480767,93,27906011,70.6,24600047,80.3,51721105,30857220,3690800,0,2281747,26814606,42722519,15294,9590553,16238558,2072020,4880,9563852,12967566,2064114,4515,N/A,81.9,N/A,93,67.5,23385049,76.4,32371403,5978177,95,5189332,88.9,2622195,2364358,201317,1462,14709391,251954,1477690,30947023,92,26757803,79.5,9589774,15091802,2071407,4820,69262027,205854,256400,32354110,87.1,27898427,75.1,9590245,16231657,2071646,4879,71809562,193408,232353,13578690,48.7,13576991,50.7,13030294,53,3689742,71.1,5888533,7475062,214567,528,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,11922175,207028,264983,10347691,179687,9331339,207399,4518805,78.5,4011726,89.2,3993495,69.3,3558439,79.1,7052135,4383340,486700,0,338255,4005064,5995054,9318,1424498,2256448,309977,2572,1423868,1822468,309628,2475,N/A,78.5,N/A,89.2,66.1,3371637,74.9,4518805,852555,95,775524,92.1,369658,376195,28795,876,2223260,263916,1415240,4323898,87.6,3836627,77.7,1424424,2099690,309952,2561,9994834,202486,241532,4517526,83.2,3993420,73.6,1424483,2256407,309958,2572,10346356,190662,219701,2002622,50.1,2002253,52.2,1928154,54.2,573414,73.9,892045,1084799,25318,460,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,8340235,233929,293893,7316313,205210,6566178,231379,3354853,94.1,2977656,95,2779402,78,2465309,86.9,4790275,3209960,340000,0,247137,2763165,4304790,1221,939519,1609847,229588,448,938983,1296584,229399,343,N/A,94.1,N/A,95,73.9,2320779,81.8,3354853,729791,95,601170,95,236325,342064,22679,102,1772187,281191,1323330,3218310,95,2668837,85.9,939189,1499699,229504,445,7067596,227550,268525,3353388,95,2778957,82.1,939311,1609691,229508,447,7314432,216175,246492,1384548,49.8,1384403,51.9,1330211,54,442868,73.7,634898,732719,16910,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
