State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
District of Columbia,1651115,233952,285867,1313888,186169,1241103,214879,633225,89.7,584489,95,480385,68.1,448589,77.7,996955,585760,68400,0,34679,480100,798601,508,167817,274525,37693,350,167743,242860,37658,328,N/A,89.7,N/A,95,64.1,420946,72.9,633225,95802,95,77755,89,41453,33445,2774,83,238971,273601,1890380,613249,95,469452,77,167809,263620,37677,346,1288736,211353,270784,633131,95,480362,72.7,167811,274511,37690,350,1313753,198939,250025,139677,29.1,138304,30.8,69418,40.2,38516,49.5,59881,78710,1069,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,6298610,N/A,N/A,6941840,N/A,6541133,N/A,3879986,N/A,3655148,N/A,2888525,N/A,2721882,N/A,4034970,2053640,210000,0,309226,2321702,4289022,21890,902003,1710650,275636,236,901804,1544421,275424,233,N/A,N/A,N/A,N/A,0,2447236,0,3879986,333051,0,172691,0,59698,103835,9158,0,547634,0,0,3844365,0,2869298,0,901978,1691476,275608,236,6886891,0,0,3879821,0,2888461,0,901984,1710625,275616,236,6941623,0,0,1222,0,1218,0,144,0,31,0,413,799,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,2049695,210492,266128,1612800,165625,1487910,193187,755420,77.6,690169,89.6,629732,64.7,578662,75.1,1169615,788480,91600,0,58876,626391,925643,1890,224744,349641,54750,597,224610,298774,54690,588,N/A,77.6,N/A,89.6,60.7,540117,70.1,755420,204806,95,175742,93,72491,93117,9816,318,493968,261489,1085030,735565,87.6,617215,73.5,224731,337149,54739,596,1579483,188077,244067,755273,82.2,629703,68.5,224733,349627,54746,597,1612628,175468,223024,230357,36.6,228449,39.5,173217,51.3,107589,61.2,101813,124631,3899,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,42659205,198621,247331,34230411,159376,32034934,185733,16154162,75.2,14951829,86.7,13693288,63.8,12769326,74,24799045,15566660,2293500,0,1406567,12765381,19937118,121345,4722022,7629722,1306239,35305,4720054,6709773,1304581,34918,N/A,75.2,N/A,86.7,59,11741997,68.1,16154162,4663221,95,4006815,89.1,1928396,1847203,210880,20336,11308070,251439,948544,15850548,84.8,13510488,72.3,4721257,7448575,1305405,35251,33730822,180417,228173,16146264,79.4,13691634,67.3,4721307,7629582,1305443,35302,34221573,168264,209751,4588132,33.5,4557437,35.7,3494561,47,2220362,55.4,2029917,2470505,83507,4203,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,113700,111122,170403,84745,82823,81788,122577,49128,48,47269,70.8,43247,42.3,42174,63.2,20060,81440,12200,0,12784,68875,3078,8,30047,1254,11941,5,30042,209,11918,5,N/A,48,N/A,70.8,31.9,31607,47.4,49128,3682,76.5,3423,71.1,2333,14,1076,0,6489,134850,2362840,48716,61.6,43237,54.6,30046,1253,11933,5,84282,106495,143666,49123,52.9,43243,46.6,30047,1254,11937,5,84740,91294,122494,3922,9.1,3919,9.3,1504,11.9,421,12.3,3572,20,330,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,19111495,180001,235551,13524273,127378,12515233,154251,6554819,61.7,5976310,73.7,5458691,51.4,5048656,62.2,10915135,7398060,798300,0,322148,5348302,7819885,33938,2068437,3077601,302384,10269,2067473,2670043,301921,9219,N/A,61.7,N/A,73.7,49.2,4812461,59.3,6554819,1403393,92.5,1227980,81,668802,522387,34510,2281,3314718,218511,1259860,6407498,71.3,5381078,59.9,2068356,3000246,302264,10212,13292947,147895,212631,6553202,65.8,5458449,54.8,2068384,3077500,302300,10265,13522453,135756,191866,1611380,29.5,1597143,31.6,1093794,41.5,609773,49.7,740431,850612,19419,918,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,291260,172866,254278,296500,175976,262379,229064,141733,84.1,122664,95,127678,75.8,112975,95,189180,79580,22500,0,11800,95227,189416,57,38344,78776,10552,6,38330,64096,10543,6,N/A,84.1,N/A,95,70,103263,90.2,141733,17043,95,16020,95,6572,8873,572,3,42307,263414,1813460,137494,95,125945,95,38343,77045,10551,6,290451,221185,221801,141714,92.8,127677,83.6,38343,78776,10552,6,296480,194081,190664,34438,27,34254,30.3,21544,48.3,9484,59.2,13224,20550,664,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,3064920,216469,274633,2298610,162346,2101386,188296,1287274,90.9,1159474,95,910162,64.3,839212,75.2,1818960,1122660,123300,0,59173,751468,1393905,94064,287831,545889,58295,18147,287212,475742,58128,18130,N/A,90.9,N/A,95,60.5,785938,70.4,1287274,311235,95,243064,90.5,100320,130160,11166,1418,619000,230585,1141720,1241549,95,892923,73.7,287779,528749,58259,18136,2236723,184684,253067,1286124,95,909986,68.4,287784,545804,58261,18137,2297996,172697,230332,170068,18.7,169171,20.2,122788,26.9,79803,32.8,55653,112617,1772,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,5844035,185227,240671,4698013,148904,4335084,178529,2063763,65.4,1871879,77.1,1872941,59.4,1711898,70.5,3343895,2219740,280400,0,171876,1884079,2641613,445,697261,1017843,157551,286,697049,857105,157461,283,N/A,65.4,N/A,77.1,55.8,1599096,65.9,2063763,542448,95,506185,91.5,266034,225662,14366,123,1422774,257304,1056880,1999530,74.7,1825714,68.2,697248,970633,157548,285,4585690,171346,218364,2063669,69.7,1872933,63.3,697257,1017841,157549,286,4697923,158744,197471,869336,46.4,862069,50.4,614130,63.9,375987,74.3,407844,449805,11672,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,3003750,168083,224351,2048153,114610,2046200,152831,937435,52.5,933485,69.7,830012,46.4,827348,61.8,1692590,1159260,151900,0,80495,844667,1119990,3001,316772,436973,75556,711,316745,434366,75534,703,N/A,52.5,N/A,69.7,43.1,767467,57.3,937435,270431,93,246749,84.9,113409,121060,11981,299,667024,229478,1033390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331210,39.9,331180,40,241135,52.7,152380,61.8,145496,180866,4781,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
