State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,639717695,192681,247703,518021463,156026,475018596,183930,246447823,74.2,222781669,86.3,207452448,62.5,189018380,73.2,374113375,235928720,29675600,0,17791472,197421313,302264632,544046,73683440,117199049,16422957,147002,73597657,98886324,16392530,141869,N/A,74.2,N/A,86.3,58.8,176823701,68.5,246447823,56118100,95,48108603,87.8,22941604,22784955,2322099,59945,133064247,242853,1167540,238991810,84.3,202651117,71.5,73678041,112408537,16418406,146133,505712563,178369,225634,246405068,78.9,207442344,66.4,73680288,117195107,16419994,146955,517970720,165875,204864,74617848,36,73880304,39.1,49942654,50.9,28969461,60.2,33228378,40252863,1120155,16452,36667118,28898600,3862373,N/A,37534890,30912283,1039797,16304,34086992,2546002,27030,7094,2131593,26733494,27464,6049,1272947,1603326,985091,1009,43358,29461,212,2152,93,6.9,0.1,0,7.4,92.5,0.1,0,33,41.5,25.5,0,57.7,39.2,0.3,2.9
Alaska,1352405,184870,245195,1037769,141860,943597,171077,479004,65.5,427248,77.5,414557,56.7,374747,67.9,743945,525060,83400,0,41380,403722,591806,861,151142,226151,37159,105,150742,186898,37008,99,N/A,65.5,N/A,77.5,52.3,342716,62.1,479004,85632,93.5,77269,84.4,42532,31193,3503,41,207867,226959,1476620,461103,75.7,404048,66.4,151137,215653,37153,105,1009301,165764,222115,478937,70.4,414543,60.9,151139,226145,37154,105,1037689,152497,198747,150205,36.2,148412,39.6,94812,54.2,50460,65.3,69160,79072,1953,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,8498480,173326,222772,5723382,116728,5389917,141287,2898115,59.1,2703849,70.9,2354087,48,2219840,58.2,4527660,3586420,384400,0,165421,2506881,3050689,391,988199,1209451,155848,589,987715,1075778,155760,587,N/A,59.1,N/A,70.9,45.5,2098505,55,2898115,790765,93,678703,79.9,360457,281768,36091,387,1762112,207347,1000010,2854479,68.2,2335553,55.8,988183,1190943,155838,589,5659872,135181,202979,2897752,62.9,2354026,51.1,988195,1209402,155840,589,5722968,124174,184396,683047,29,679165,30.6,533983,40.7,343479,50.6,331879,339029,12089,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,5301700,175681,228753,3866990,128139,3559502,153582,1911921,63.4,1736227,74.9,1557712,51.6,1428433,61.6,2870940,2182360,248400,0,117718,1662878,2082655,3739,641430,806197,108964,1121,640290,678904,108428,811,N/A,63.4,N/A,74.9,48.8,1343282,58,1911921,486810,92.9,411324,78.5,230825,164503,15540,456,1117966,213400,1012000,1862386,72.8,1530423,59.8,641417,779319,108839,848,3790308,148218,207321,1910423,67.5,1557538,55,641419,806153,108846,1120,3865428,136619,187383,503148,32.3,499616,35,370809,46.6,235867,57.3,248343,246383,8014,408,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,84910,179165,270975,80327,169495,60061,191674,41246,87,29996,95,35654,75.2,26755,85.4,63610,20700,600,0,552,20075,59697,3,8850,26242,561,1,8832,17362,560,1,N/A,87,N/A,95,74.1,26225,83.7,41246,2982,91,2726,83.2,1143,1557,26,0,6448,196705,2590300,36396,95,32477,88,8849,23066,561,1,72238,195677,230002,41242,95,35654,82.7,8850,26242,561,1,80323,186321,196961,3976,11.2,3954,14.8,2179,22.3,841,30.9,1263,2713,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,13047660,179258,231404,10701220,147021,9796558,173745,4954908,68.1,4449373,78.9,4186278,57.5,3820762,67.8,7471140,4982020,594500,0,347155,4263818,6068792,21455,1574245,2288404,317686,5943,1573556,1924124,317235,5847,N/A,68.1,N/A,78.9,54,3566577,63.3,4954908,1258498,95,1097111,83.8,534785,509644,49482,3200,3123092,238653,997045,4803033,77.4,4107239,66.2,1574201,2209669,317441,5928,10464591,168619,210241,4954161,72.3,4185986,61.1,1574227,2288365,317451,5943,10700325,156234,190507,1353954,32.3,1341326,35.1,947864,46.1,586351,53.4,602450,733001,17913,590,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,307810,N/A,N/A,280422,N/A,280420,N/A,135937,N/A,135935,N/A,128627,N/A,128626,N/A,157710,134000,16100,0,14095,121213,145082,32,49998,65208,13421,0,49998,65208,13420,0,N/A,N/A,N/A,N/A,0,117014,0,135937,3769,0,3595,0,1720,1680,195,0,8905,0,0,135935,0,128626,0,49998,65208,13420,0,280420,0,0,135935,0,128626,0,49998,65208,13420,0,280420,0,0,28609,22.2,28609,22.2,9942,34.9,1718,47.8,16493,11456,638,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,78915915,199725,257747,67324744,170390,60989848,199199,33132363,83.9,29599001,95,26387541,66.8,23696718,77.4,46948295,28382520,3585100,0,2221181,25509905,39577534,16124,9246314,15082071,2054472,4684,9220120,12425688,2046592,4318,N/A,83.9,N/A,95,63.1,22253430,72.7,33132363,6533452,95,5085710,87.1,2565353,2316304,202643,1410,14572906,249617,1351740,32038103,95,25689350,76.4,9245496,14385323,2053906,4625,65527572,194754,234546,33127027,89.2,26386318,71.1,9245967,15081568,2054099,4684,67318522,181312,212548,9502585,36,9392083,39.6,5682591,51.2,3044363,59.9,4291230,5053734,157191,430,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,11173795,194032,248350,9671033,167937,8802972,195656,4329095,75.2,3864925,85.9,3838984,66.7,3454104,76.8,6547895,4147200,478700,0,325933,3790629,5546507,7964,1389065,2147610,300091,2218,1385280,1767831,298856,2137,N/A,75.2,N/A,85.9,63.2,3257362,72.4,4329095,825483,95,752544,89.3,358782,366265,26728,769,2138821,253893,1326410,4161455,84.3,3718613,75.3,1389010,2027333,300060,2210,9381135,190053,226371,4328725,79.8,3838921,70.7,1389051,2147585,300067,2218,9670624,178210,205910,1645940,42.9,1629679,47.2,986483,61.9,540176,71.8,762166,862023,21520,231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,7711565,216296,271740,6810180,191014,6191362,218171,3207983,90,2873084,95,2681407,75.2,2415191,85.1,4444425,2933840,333300,0,238673,2602471,3967823,1213,920125,1536529,224313,440,919608,1271122,224128,333,N/A,90,N/A,95,70.8,2258228,79.6,3207983,718956,95,596887,94.7,234801,339731,22255,100,1721893,273211,1223580,3098320,95,2608303,84,919806,1463828,224232,437,6625912,213330,248284,3206658,94.8,2680966,79.2,919917,1536376,224234,439,6808437,201220,227912,1110975,41.4,1098487,45.5,749839,58.4,408339,68.4,533727,563834,13397,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
