State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
District of Columbia,1573815,222999,272484,1258257,178287,1192093,206394,613603,86.9,568162,95,473057,67,443432,76.8,942315,563600,67900,0,34046,460416,763308,487,165961,269473,37286,337,165890,239974,37252,316,N/A,86.9,N/A,95,62.9,414627,71.8,613603,94428,95,77276,88.5,41241,33240,2717,78,233814,267696,1801880,595957,95,463772,76.1,165954,260214,37271,333,1236937,202858,258107,613522,92.9,473037,71.6,165956,269461,37283,337,1258137,190517,238319,115525,24.4,115152,26,60522,35.3,35265,45.6,49121,65535,854,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,6065620,N/A,N/A,6831984,N/A,6451385,N/A,3798207,N/A,3585030,N/A,2857972,N/A,2699668,N/A,3827440,2028680,209500,0,305748,2289325,4215320,21591,895970,1689642,272158,202,895775,1531742,271949,202,N/A,N/A,N/A,N/A,0,2428468,0,3798207,322037,0,171244,0,59133,103113,8998,0,535299,0,0,3768344,0,2844496,0,895946,1676217,272131,202,6788577,0,0,3798056,0,2857909,0,895952,1689617,272138,202,6831782,0,0,1075,0,1071,0,122,0,28,0,334,731,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,1950385,200293,253234,1558776,160077,1442793,187329,739469,75.9,678113,88,621051,63.8,573331,74.4,1117845,743940,88600,0,57843,605560,893563,1810,222596,343638,54242,575,222464,296117,54182,568,N/A,75.9,N/A,88,59.6,532691,69.2,739469,203248,95,174956,92.6,72121,92761,9764,310,485132,256811,1032460,722557,86,611254,72.8,222583,333865,54231,575,1531274,182336,232242,739329,80.4,621022,67.6,222585,343624,54238,575,1558610,169590,212219,201468,32.4,200890,35,157588,47,101297,57.9,88909,109184,3365,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,40454525,188356,234549,33061992,153936,31019993,179849,15861562,73.9,14734484,85.4,13527757,63,12659230,73.4,23786385,14410540,2257600,0,1384377,12367167,19192307,118141,4688556,7508501,1296174,34526,4686643,6643863,1294533,34191,N/A,73.9,N/A,85.4,58,11587653,67.2,15861562,4619395,95,3988699,88.7,1921006,1837887,209750,20056,11063690,246005,899522,15616288,83.5,13389661,71.6,4687805,7372017,1295347,34492,32667759,174731,216380,15853762,78,13526115,66.5,4687843,7508367,1295380,34525,33053260,162520,198911,3924420,29,3912664,30.9,3115040,42.1,2052971,51.5,1753975,2094474,72223,3748,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,108760,106294,163000,83463,81571,81101,121547,48365,47.3,47036,70.5,43061,42.1,42008,63,16120,80440,12200,0,12722,68272,2465,4,29939,1228,11891,3,29934,203,11868,3,N/A,47.3,N/A,70.5,31.7,31441,47.1,48365,3670,76.3,3411,70.9,2326,13,1072,0,6427,133562,2260180,48292,61,43052,54.4,29938,1228,11883,3,83382,105357,137424,48360,52.1,43057,46.4,29939,1228,11887,3,83458,89913,117172,3565,8.3,3562,8.5,1352,10.7,377,11.1,3234,12,319,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,18246575,171855,224890,13074414,123141,12138512,149608,6438467,60.6,5896548,72.7,5376936,50.6,4992508,61.5,10479915,6978560,788100,0,317018,5190978,7552121,14297,2048796,3023915,299688,4537,2047860,2641166,299226,4256,N/A,60.6,N/A,72.7,48.3,4746766,58.5,6438467,1395454,92,1218914,80.4,663754,518774,34264,2122,3250067,214250,1202840,6318239,70.3,5318384,59.2,2048720,2965575,299568,4521,12890647,143419,203008,6436946,64.6,5376703,54,2048744,3023818,299604,4537,13072697,131241,183183,1368552,25.5,1363226,27.3,971244,37.2,563747,46.2,632093,719143,16854,462,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,279120,165661,243679,290351,172326,257915,225167,140193,83.2,121960,95,126331,75,112353,95,178040,78580,22500,0,11606,93384,185310,51,38133,77732,10463,3,38119,63776,10455,3,N/A,83.2,N/A,95,69.2,102579,89.6,140193,16976,95,15965,95,6545,8848,569,3,41748,259934,1737870,136660,95,125176,95,38132,76579,10462,3,285603,217493,212556,140182,91.8,126330,82.7,38132,77732,10463,3,290339,190061,182717,31102,24.6,31020,27.6,20040,45.1,9043,56.6,11802,18740,560,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,2944700,207978,263861,2193910,154951,2014640,180523,1213256,85.7,1100601,95,892901,63.1,824218,73.9,1759540,1062460,122700,0,57541,706829,1335476,94064,281113,536784,56857,18147,280498,468900,56690,18130,N/A,85.7,N/A,95,59.3,771635,69.1,1213256,301053,95,240583,89.6,98973,129269,10923,1418,603386,224768,1096940,1178981,95,876639,72.4,281061,520621,56821,18136,2144506,177070,243141,1212117,91.1,892725,67.1,281066,536699,56823,18137,2193307,164829,221297,156233,17.5,155717,18.9,115260,25.6,76627,31.9,48737,105870,1601,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,5601245,177532,230672,4535291,143746,4200531,172987,2032340,64.4,1851006,76.2,1848438,58.6,1700206,70,3216585,2106260,278400,0,169034,1824066,2541764,427,693954,998266,155945,273,693744,850337,155855,270,N/A,64.4,N/A,76.2,54.8,1580800,65.1,2032340,540220,95,505108,91.3,265610,225111,14272,115,1399356,253069,1012970,1976233,73.8,1812002,67.7,693941,961847,155942,272,4442078,165980,209292,2032268,68.7,1848430,62.5,693950,998264,155943,273,4535222,153246,189267,764842,41.4,762093,44.8,563311,58.8,356282,70.5,362341,391985,10504,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,2876000,160934,214809,2001713,112011,1999921,149374,927409,51.9,923700,69,823306,46.1,820884,61.3,1653240,1072260,150500,0,79216,823617,1095971,2909,314625,433273,74725,683,314598,430907,74703,676,N/A,51.9,N/A,69,42.6,759571,56.7,927409,268970,92.5,245942,84.6,113028,120728,11896,290,657752,226288,989438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301088,36.6,301076,36.7,224814,49.3,145308,59.1,131285,165409,4335,59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
