State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,609035545,183440,235823,499013558,150301,459289707,177840,241583543,72.8,219413818,85,204818717,61.7,187653731,72.7,357881305,221831040,29323200,0,17484608,190503920,290516041,508989,73256771,115159988,16264948,137010,73171928,98113933,16234865,133005,N/A,72.8,N/A,85,57.8,174845756,67.7,241583543,55830214,95,48061585,87.7,22926524,22767306,2309198,58557,130520463,238211,1111540,235274116,83,201056214,70.9,73251649,111407669,16260543,136353,488901420,172440,214812,241543207,77.4,204808686,65.6,73253589,115156121,16262004,136972,498965327,159789,195038,63179580,30.8,62937227,33.5,44438658,45.4,26810807,55.8,28117114,34071622,976963,13881,31027943,24650082,3147581,N/A,31820324,26178222,907668,13767,29034950,1963353,23694,5946,1724310,22896482,23998,5292,1002738,1285010,858978,855,58326,33377,998,1674,93.6,6.3,0.1,0,7,92.9,0.1,0,31.9,40.8,27.3,0,61.8,35.4,1.1,1.8
Alaska,1320295,180480,239374,1012780,138444,923717,167473,472788,64.6,422961,76.7,409806,56,372247,67.5,730895,506300,83100,0,40742,394076,577116,846,150253,222679,36774,100,149856,185666,36631,94,N/A,64.6,N/A,76.7,51.6,339698,61.6,472788,85142,93,77035,84.1,42419,31105,3472,39,205060,223894,1441560,456418,75,401144,65.9,150248,214026,36770,100,987706,162218,216841,472726,69.5,409793,60.2,150250,222673,36770,100,1012705,148825,194028,135349,33,134495,36.1,88348,50.8,48172,62.5,62041,71578,1712,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,8016810,163502,210146,5531312,112811,5224553,136952,2845635,58,2665888,69.9,2318310,47.3,2193031,57.5,4335050,3299660,382100,0,162226,2431619,2937127,340,977866,1185644,154236,564,977392,1060928,154149,562,N/A,58,N/A,69.9,44.7,2067291,54.2,2845635,785054,92.4,674661,79.4,358246,280106,35941,368,1722630,202701,943335,2813084,67.2,2306485,55.1,977853,1173842,154226,564,5486230,131034,191475,2845286,61.7,2318249,50.3,977862,1185595,154228,564,5530915,120007,173945,581143,25.1,579698,26.4,470547,36.2,313998,46.5,282993,287625,10484,41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,4984070,165156,215049,3754371,124407,3466617,149575,1880843,62.3,1714951,74,1536297,50.9,1414823,61,2776110,1961160,246800,0,114523,1615649,2020527,3672,635946,792109,107175,1067,634821,672564,106642,796,N/A,62.3,N/A,74,48,1326941,57.3,1880843,483584,92.3,409404,78.1,229790,163806,15358,450,1097080,209414,951373,1839103,71.9,1515549,59.3,635934,771733,107051,831,3692027,144375,194900,1879368,66.4,1536125,54.3,635935,792066,107058,1066,3752833,132640,176157,441443,28.7,440075,31.1,336055,42.5,220040,53.7,216029,218414,6602,398,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,79510,167771,253742,74867,157974,58988,188250,40096,84.6,29853,95,32008,67.5,26472,84.5,58210,20700,600,0,549,19653,54664,1,8740,22710,558,0,8723,17192,557,0,N/A,84.6,N/A,95,66.4,25938,82.8,40096,2967,90.5,2706,82.6,1138,1543,25,0,6296,192068,2425560,36161,95,31933,86.5,8739,22636,558,0,70800,191782,215375,40093,93,32008,74.2,8740,22710,558,0,74864,173658,184435,3308,10.3,3298,12.5,1870,19.3,719,26.6,1011,2297,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,12476070,171405,221267,10302180,141538,9471513,167980,4849179,66.6,4378307,77.7,4117680,56.6,3780945,67.1,7214110,4676160,585800,0,339559,4111384,5830785,20452,1558501,2240124,313352,5703,1557831,1904589,312906,5619,N/A,66.6,N/A,77.7,52.9,3517362,62.4,4849179,1244691,95,1090574,83.3,531416,507042,49023,3093,3047373,232867,953367,4723735,76.1,4061610,65.4,1558462,2184349,313107,5692,10116515,163010,201030,4848479,70.8,4117391,60.1,1558483,2240088,313117,5703,10301339,150408,182161,1144544,27.8,1140337,30.2,837608,41,537865,49.3,502757,626180,15127,480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,298000,N/A,N/A,276087,N/A,276085,N/A,134898,N/A,134896,N/A,127885,N/A,127884,N/A,154440,127460,16100,0,14078,118571,143406,32,49631,64845,13409,0,49631,64845,13408,0,N/A,N/A,N/A,N/A,0,116149,0,134898,3746,0,3587,0,1716,1676,195,0,8792,0,0,134896,0,127884,0,49631,64845,13408,0,276085,0,0,134896,0,127884,0,49631,64845,13408,0,276085,0,0,26074,20.4,26074,20.4,9234,32.5,1636,45.6,14840,10579,633,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,75475065,191017,246509,64422015,163043,58587318,191352,32347610,81.9,29038944,94.8,25930629,65.6,23434265,76.5,44998405,26960860,3515800,0,2180604,24414418,37811242,15751,9146843,14745071,2034175,4540,9120770,12282962,2026342,4191,N/A,81.9,N/A,94.8,61.7,21901047,71.5,32347610,6457620,95,5048048,86.5,2545692,2300014,200967,1375,14221840,243603,1292800,31427601,93.4,25387648,75.5,9146045,14203476,2033635,4492,62955057,187109,224319,32342811,87.1,25929453,69.8,9146496,14744611,2033806,4540,64416370,173496,203281,7824057,30.2,7793853,33.3,4991854,45.3,2805084,55.6,3532711,4153945,137000,401,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,10784145,187266,239689,9337916,162152,8530870,189608,4254696,73.9,3813746,84.8,3785991,65.7,3427573,76.2,6336445,3970500,477200,0,320640,3663566,5346149,7561,1379746,2107181,296978,2086,1375986,1753821,295754,2012,N/A,73.9,N/A,84.8,62.1,3221149,71.6,4254696,820811,95,749416,89,357445,364745,26489,737,2102180,249543,1280150,4105307,83.2,3688153,74.7,1379704,2009422,296949,2078,9089390,184143,218477,4254393,78.4,3785933,69.8,1379733,2107158,296956,2086,9337576,172073,198730,1441821,38.1,1436234,41.9,904688,57,512133,68.3,667968,754265,19399,189,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,7344135,205990,258792,6502169,182374,5935393,209151,3121874,87.6,2809934,95,2646581,74.2,2399858,84.6,4260775,2752560,330800,0,234349,2469208,3797426,1186,914523,1509736,221886,436,914030,1263797,221702,329,N/A,87.6,N/A,95,69.5,2232707,78.7,3121874,711476,95,595478,94.5,234301,339026,22053,98,1683540,267125,1165280,3029441,95,2590198,83.4,914228,1453732,221805,433,6351892,204507,236454,3120582,92.2,2646141,78.2,914315,1509584,221807,435,6500462,192118,217052,923348,34.9,920686,38.4,663582,51.9,378900,63.6,440103,471653,11576,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
