USTotalNewCasesByDate,Dates
1,2020-01-22
0,2020-01-23
1,2020-01-24
0,2020-01-25
3,2020-01-26
0,2020-01-27
0,2020-01-28
1,2020-01-29
0,2020-01-30
2,2020-01-31
0,2020-02-01
0,2020-02-02
3,2020-02-03
0,2020-02-04
0,2020-02-05
1,2020-02-06
0,2020-02-07
0,2020-02-08
0,2020-02-09
0,2020-02-10
1,2020-02-11
0,2020-02-12
1,2020-02-13
0,2020-02-14
0,2020-02-15
0,2020-02-16
1,2020-02-17
1,2020-02-18
0,2020-02-19
0,2020-02-20
0,2020-02-21
0,2020-02-22
0,2020-02-23
1,2020-02-24
1,2020-02-25
1,2020-02-26
0,2020-02-27
0,2020-02-28
7,2020-02-29
13,2020-03-01
18,2020-03-02
22,2020-03-03
34,2020-03-04
71,2020-03-05
63,2020-03-06
170,2020-03-07
121,2020-03-08
92,2020-03-09
167,2020-03-10
361,2020-03-11
452,2020-03-12
626,2020-03-13
730,2020-03-14
388,2020-03-15
1433,2020-03-16
1783,2020-03-17
2706,2020-03-18
4507,2020-03-19
6401,2020-03-20
5992,2020-03-21
8888,2020-03-22
11156,2020-03-23
10618,2020-03-24
12127,2020-03-25
17821,2020-03-26
18591,2020-03-27
22164,2020-03-28
20165,2020-03-29
22154,2020-03-30
26381,2020-03-31
32232,2020-04-01
32230,2020-04-02
32482,2020-04-03
32176,2020-04-04
29604,2020-04-05
31858,2020-04-06
30343,2020-04-07
31149,2020-04-08
36443,2020-04-09
34347,2020-04-10
29318,2020-04-11
26872,2020-04-12
26924,2020-04-13
28521,2020-04-14
25900,2020-04-15
29956,2020-04-16
33157,2020-04-17
27994,2020-04-18
25923,2020-04-19
29680,2020-04-20
26184,2020-04-21
29511,2020-04-22
32812,2020-04-23
32152,2020-04-24
31800,2020-04-25
26547,2020-04-26
23818,2020-04-27
24690,2020-04-28
26220,2020-04-29
29242,2020-04-30
35021,2020-05-01
27830,2020-05-02
24492,2020-05-03
23713,2020-05-04
24331,2020-05-05
24271,2020-05-06
27657,2020-05-07
27272,2020-05-08
24446,2020-05-09
19250,2020-05-10
19036,2020-05-11
22843,2020-05-12
20576,2020-05-13
26534,2020-05-14
24821,2020-05-15
24233,2020-05-16
18884,2020-05-17
22134,2020-05-18
20761,2020-05-19
22724,2020-05-20
25806,2020-05-21
23629,2020-05-22
20979,2020-05-23
20591,2020-05-24
18653,2020-05-25
18646,2020-05-26
19437,2020-05-27
21646,2020-05-28
24735,2020-05-29
24084,2020-05-30
19458,2020-05-31
16965,2020-06-01
21283,2020-06-02
19771,2020-06-03
21723,2020-06-04
25001,2020-06-05
21300,2020-06-06
18413,2020-06-07
16504,2020-06-08
18092,2020-06-09
21068,2020-06-10
22382,2020-06-11
25326,2020-06-12
24972,2020-06-13
19420,2020-06-14
18522,2020-06-15
23839,2020-06-16
27391,2020-06-17
28315,2020-06-18
31935,2020-06-19
32613,2020-06-20
26189,2020-06-21
30973,2020-06-22
37226,2020-06-23
36232,2020-06-24
40369,2020-06-25
46210,2020-06-26
41737,2020-06-27
41862,2020-06-28
39642,2020-06-29
48312,2020-06-30
51567,2020-07-01
56348,2020-07-02
52620,2020-07-03
48946,2020-07-04
50438,2020-07-05
42801,2020-07-06
58858,2020-07-07
59723,2020-07-08
60875,2020-07-09
67778,2020-07-10
61371,2020-07-11
60684,2020-07-12
57559,2020-07-13
66439,2020-07-14
67966,2020-07-15
76039,2020-07-16
72251,2020-07-17
63797,2020-07-18
61465,2020-07-19
60212,2020-07-20
65582,2020-07-21
