State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
District of Columbia,1559315,220945,269973,1251842,177378,1186368,205403,610650,86.5,565560,95,472004,66.9,442668,76.6,932355,559260,67700,0,33975,458103,759280,484,165645,268794,37229,336,165574,239584,37195,315,N/A,86.5,N/A,95,62.8,413754,71.6,610650,94196,95,77227,88.4,41215,33221,2714,77,233338,267151,1785280,593254,95,462955,75.9,165638,259771,37214,332,1230946,201876,255729,610570,92.5,471984,71.5,165640,268782,37226,336,1251724,189546,236124,112591,23.9,112314,25.4,59563,34.8,34926,45.2,47875,63861,840,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,5993380,N/A,N/A,6821347,N/A,6442818,N/A,3790627,N/A,3578665,N/A,2854824,N/A,2697358,N/A,3764600,2019280,209500,0,305500,2286402,4207886,21559,895264,1687449,271910,201,895070,1530386,271701,201,N/A,N/A,N/A,N/A,0,2426404,0,3790627,321090,0,171103,0,59077,103036,8990,0,534213,0,0,3761403,0,2841973,0,895240,1674649,271883,201,6779207,0,0,3790477,0,2854761,0,895246,1687424,271890,201,6821146,0,0,1067,0,1063,0,119,0,28,0,330,727,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,1943945,199632,252397,1543502,158509,1429858,185650,736375,75.6,675999,87.8,618343,63.5,571657,74.2,1114205,741440,88300,0,57554,599452,884700,1796,221785,341861,54127,570,221653,295374,54067,563,N/A,75.6,N/A,87.8,59.3,530401,68.9,736375,202979,95,174738,92.5,72021,92656,9755,306,482418,255375,1029050,720260,85.8,609441,72.6,221772,332983,54116,570,1517780,180730,231475,736236,80.1,618314,67.3,221774,341847,54123,570,1543337,167928,211518,192915,31.2,192545,33.7,152610,45.6,99233,56.8,84962,104737,3207,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,40231805,187319,233257,32914753,153251,30890517,179098,15827856,73.7,14709078,85.3,13508670,62.9,12646729,73.3,23687105,14299200,2245500,0,1381694,12315473,19099822,117764,4684574,7494739,1294919,34438,4682665,6636678,1293281,34105,N/A,73.7,N/A,85.3,57.9,11569479,67.1,15827856,4613669,95,3986577,88.6,1920062,1836889,209613,20013,11032704,245316,894569,15589280,83.4,13375883,71.5,4683824,7363562,1294092,34405,32532795,174009,215189,15820067,77.8,13507030,66.4,4683861,7494606,1294125,34438,32906033,161796,197816,3834188,28.4,3824873,30.2,3062639,41.4,2031418,51,1716160,2043512,70839,3677,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,108760,106294,163000,83312,81423,80973,121355,48324,47.2,46998,70.4,43007,42,41962,62.9,16120,80440,12200,0,12704,68167,2437,4,29910,1218,11876,3,29905,201,11853,3,N/A,47.2,N/A,70.4,31.7,31402,47.1,48324,3664,76.1,3407,70.8,2325,13,1069,0,6415,133313,2260180,48252,61,42998,54.3,29909,1218,11868,3,83243,105182,137424,48319,52.1,43003,46.3,29910,1218,11872,3,83307,89750,117172,3502,8.1,3499,8.3,1325,10.5,371,10.9,3175,11,316,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,18128095,170739,223430,12939513,121871,12023116,148186,6413390,60.4,5879582,72.5,5353843,50.4,4977043,61.3,10422555,6922140,783400,0,315145,5143667,7466591,14110,2042657,3007832,298869,4485,2041734,2632687,298410,4212,N/A,60.4,N/A,72.5,48.1,4728640,58.3,6413390,1393469,91.9,1216117,80.2,662174,517630,34210,2103,3229801,212914,1195030,6299543,70.1,5301239,59,2042583,2955435,298749,4472,12768872,142064,201690,6411886,64.4,5353615,53.7,2042605,3007740,298785,4485,12937836,129887,181993,1291132,24.1,1288147,25.9,931444,35.7,549231,45.2,599051,675522,16118,441,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,279120,165661,243679,289797,171998,257539,224838,140035,83.1,121892,95,126214,74.9,112307,95,178040,78580,22500,0,11553,93246,184947,51,38117,77640,10454,3,38103,63755,10446,3,N/A,83.1,N/A,95,69.1,102517,89.5,140035,16971,95,15960,95,6545,8843,569,3,41710,259697,1737870,136578,95,125120,95,38116,76548,10453,3,285192,217180,212556,140024,91.7,126213,82.6,38116,77640,10454,3,289785,189698,182717,30812,24.4,30741,27.4,19927,44.9,9012,56.5,11694,18602,516,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,2916870,206012,261367,2153168,152074,1980927,177502,1186887,83.8,1080402,95,886129,62.6,817977,73.3,1742410,1052760,121700,0,56924,689311,1312869,94064,278426,533254,56302,18147,277812,465900,56135,18130,N/A,83.8,N/A,95,58.9,765755,68.6,1186887,297061,95,239335,89.2,98343,128771,10803,1418,596173,222081,1086570,1157613,95,869943,71.8,278374,517167,56266,18136,2108903,174130,240843,1185749,89.1,885953,66.6,278379,533169,56268,18137,2152566,161768,219206,150442,17,150168,18.4,111989,25,75284,31.5,46072,102790,1555,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,5558495,176177,228911,4490986,142342,4162512,171422,2022806,64.1,1844051,75.9,1843166,58.4,1697595,69.9,3191235,2090260,277000,0,168150,1806645,2515764,427,693005,994320,155568,273,692795,849051,155479,270,N/A,64.1,N/A,75.9,54.6,1576401,64.9,2022806,539308,95,504823,91.3,265455,225005,14248,115,1392080,251753,1005240,1968732,73.6,1808966,67.6,692992,960137,155565,272,4402137,164487,207695,2022738,68.3,1843158,62.3,693001,994318,155566,273,4490921,151749,187823,736076,39.9,734258,43.3,548057,57.2,350344,69.4,349154,376835,10076,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,2865190,160329,214002,1994580,111612,1992799,148843,925963,51.8,922287,68.9,822408,46,819997,61.2,1645730,1069260,150200,0,79066,820348,1092284,2882,314328,432771,74629,680,314301,430416,74607,673,N/A,51.8,N/A,68.9,42.6,758420,56.6,925963,268753,92.5,245841,84.6,112977,120686,11889,289,656200,225754,985719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296037,36,296028,36.1,221995,48.8,144031,58.6,128875,162828,4279,55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
