State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,604414885,182048,234034,496239573,149466,456955064,176936,241881712,72.9,219887572,85.1,204098982,61.5,187138923,72.5,355139765,220090820,29184300,0,17438700,189469043,288825557,506273,73039929,114681672,16241180,136201,72955310,97840207,16211153,132253,N/A,72.9,N/A,85.1,57.6,174245352,67.5,241881712,56256977,95,47929690,87.5,22864697,22699451,2307242,58300,130120132,237480,1103110,235739490,83.1,200490931,70.7,73034877,111083674,16236810,135570,486450304,171575,213182,241841617,77.4,204088978,65.4,73036749,114677828,16238237,136164,496191613,158901,193558,60813883,29.8,60629341,32.4,43062271,44.1,26117376,54.5,27075288,32769538,955463,13594,29826354,23728433,3047404,N/A,30593761,25198696,888071,13480,27936045,1861399,23061,5849,1637207,22062560,23477,5189,963562,1242416,840597,829,56947,32321,936,1613,93.7,6.2,0.1,0,6.9,93,0.1,0,31.6,40.8,27.6,0,62,35.2,1,1.8
Alaska,1316025,179897,238600,1005845,137496,918096,166454,471322,64.4,422054,76.5,408744,55.9,371707,67.4,729525,503800,82700,0,40604,391305,573094,842,150050,221897,36698,99,149653,185406,36555,93,N/A,64.4,N/A,76.5,51.4,339043,61.5,471322,85056,92.9,76975,84,42395,31079,3462,39,204179,222932,1436900,455409,74.8,400508,65.8,150045,213670,36694,99,981661,161225,216140,471261,69.3,408731,60.1,150047,221891,36694,99,1005771,147806,193401,130885,32,130263,35,86267,49.6,47418,61.6,59874,69347,1648,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,7977980,162710,209128,5510359,112383,5206160,136470,2840554,57.9,2661997,69.8,2314410,47.2,2190199,57.4,4317840,3279340,380800,0,161935,2423314,2924774,336,976812,1182980,154060,558,976341,1059329,153973,556,N/A,57.9,N/A,69.8,44.6,2064060,54.1,2840554,784379,92.3,674212,79.3,358003,279921,35926,362,1717837,202137,938766,2808909,67.1,2303432,55,976799,1172025,154050,558,5467083,130577,190547,2840208,61.6,2314349,50.2,976808,1182931,154052,558,5509965,119552,173102,569193,24.6,567994,25.9,462798,35.6,310315,46,277327,281470,10362,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,4921600,163085,212353,3727987,123533,3444754,148631,1874196,62.1,1710700,73.8,1531814,50.8,1412041,60.9,2728740,1946660,246200,0,114089,1604789,2005452,3657,634890,788916,106951,1057,633768,671061,106419,793,N/A,62.1,N/A,73.8,47.8,1323223,57.1,1874196,482823,92.2,408962,78.1,229582,163603,15329,448,1091694,208385,939448,1834457,71.7,1512475,59.1,634878,769942,106828,827,3669057,143477,192457,1872730,66.2,1531642,54.1,634879,788873,106834,1056,3726458,131708,173949,426224,27.8,425279,30.1,327094,41.4,215860,52.8,208239,211198,6390,397,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,78710,166083,251189,74151,156463,58616,187062,39713,83.8,29791,95,31908,67.3,26395,84.2,57410,20700,600,0,548,19511,54091,1,8700,22651,557,0,8683,17156,556,0,N/A,83.8,N/A,95,66.2,25860,82.5,39713,2960,90.3,2696,82.2,1137,1534,25,0,6225,189902,2401160,36072,95,31844,86.3,8699,22588,557,0,70388,190666,213208,39710,92.1,31908,74,8700,22651,557,0,74148,171997,182579,3073,9.6,3064,11.6,1744,18,666,24.7,930,2143,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,12394650,170286,219823,10261445,140979,9438046,167386,4838126,66.5,4370843,77.5,4110695,56.5,3776736,67,7169770,4642780,582100,0,338687,4096456,5805964,20338,1556860,2235324,312826,5685,1556194,1902560,312380,5602,N/A,66.5,N/A,77.5,52.8,3512383,62.3,4838126,1243140,95,1089796,83.3,530985,506779,48950,3082,3039414,232259,947145,4715485,76,4056744,65.4,1556822,2181667,312581,5674,10080819,162435,199719,4837428,70.6,4110407,60,1556842,2235289,312591,5685,10260607,149813,180972,1122864,27.3,1119364,29.6,825912,40.5,532717,48.9,492923,614653,14819,469,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,296270,N/A,N/A,275178,N/A,275176,N/A,134634,N/A,134632,N/A,127744,N/A,127743,N/A,153270,126900,16100,0,14038,118110,142998,32,49573,64796,13375,0,49573,64796,13374,0,N/A,N/A,N/A,N/A,0,116017,0,134634,3743,0,3587,0,1716,1676,195,0,8759,0,0,134632,0,127743,0,49573,64796,13374,0,275176,0,0,134632,0,127743,0,49573,64796,13374,0,275176,0,0,25540,20,25540,20,9053,31.9,1606,44.8,14557,10333,628,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,74690345,189031,243946,64114995,162266,58332668,190520,32264393,81.7,28979890,94.7,25882543,65.5,23407413,76.5,44420685,26768760,3500900,0,2176546,24295670,37627045,15734,9136380,14709954,2031679,4530,9110334,12269039,2023858,4182,N/A,81.7,N/A,94.7,61.6,21865051,71.4,32264393,6449904,95,5044557,86.4,2543826,2298575,200782,1374,14185268,242977,1279360,31363547,93.2,25356671,75.4,9135605,14185437,2031146,4483,62684124,186303,221987,32259635,86.9,25881376,69.7,9136033,14709499,2031314,4530,64109378,172669,201167,7640675,29.5,7618078,32.5,4914978,44.7,2779063,55.1,3447673,4057489,135114,399,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,10723825,186218,238349,9282678,161193,8485591,188602,4243029,73.7,3806297,84.6,3777182,65.6,3423289,76.1,6307225,3940900,475700,0,319691,3643349,5312164,7474,1378345,2100300,296476,2061,1374590,1751459,295252,1988,N/A,73.7,N/A,84.6,62,3215233,71.5,4243029,820067,95,748781,88.9,357185,364415,26450,731,2095260,248722,1272990,4097122,83,3683249,74.6,1378304,2006444,296447,2054,9041542,183173,217255,4242731,78.2,3777124,69.6,1378332,2100277,296454,2061,9282343,171055,197618,1407473,37.3,1403092,41,889862,56.1,506791,67.7,652512,735812,18970,179,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,7238925,203039,255085,6472355,181538,5909870,208252,3112662,87.3,2802745,95,2643186,74.1,2398307,84.5,4189065,2719260,330600,0,233799,2456342,3781028,1186,913974,1507212,221565,435,913484,1263114,221381,328,N/A,87.3,N/A,95,69.4,2230283,78.6,3112662,710630,95,595338,94.5,234245,338973,22023,97,1679760,266525,1148590,3021839,95,2588449,83.3,913682,1452851,221484,432,6325303,203651,233067,3111372,92,2642746,78.1,913766,1507060,221486,434,6470651,191237,213943,905270,34.2,903095,37.7,655126,51.2,376040,63.2,431055,462854,11345,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
