State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,618076045,186163,239323,513839973,154767,471586773,182602,245278020,73.9,221953487,85.9,206797799,62.3,188647907,73,367765245,220814300,29496500,0,17716925,195913748,299669968,539332,73551699,116717179,16383194,145727,73466119,98688194,16352839,140755,N/A,73.9,N/A,85.9,58.6,176328420,68.3,245278020,56014355,95,48062444,87.7,22920246,22763899,2318708,59591,132468719,241766,1128040,238080908,84,202228613,71.3,73546380,112158611,16378678,144944,502024550,177068,218001,245236399,78.5,206787743,66.2,73548553,116713273,16380236,145681,513790416,164537,197933,72262703,34.9,71645667,38,48852078,49.8,28533913,59.4,32197004,38963565,1086419,15715,35489784,28040869,3709121,N/A,36335443,29953645,1008429,15567,33026496,2430214,26315,6759,2050419,25957796,26807,5847,1216121,1536946,955100,954,42407,28689,207,2007,93.1,6.8,0.1,0,7.3,92.6,0.1,0,32.8,41.4,25.8,0,57.8,39.1,0.3,2.7
Alaska,1318725,180266,239089,1031775,141041,938910,170227,477467,65.3,426191,77.3,413413,56.5,374119,67.8,739545,496080,83100,0,41205,401589,588125,856,150914,225335,37060,104,150515,186595,36911,98,N/A,65.3,N/A,77.3,52.1,341962,62,477467,85507,93.4,77210,84.3,42505,31168,3496,41,207228,226261,1439850,459938,75.5,403302,66.2,150909,215235,37054,104,1004090,164909,216583,477403,70.2,413399,60.8,150911,225329,37055,104,1031698,151617,193798,146742,35.5,145245,38.8,93432,53.5,49954,64.7,67629,77207,1886,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,8071240,164612,211573,5681793,115880,5354818,140367,2886070,58.9,2695436,70.7,2346404,47.9,2213978,58,4443060,3244780,383400,0,164363,2490502,3026541,387,985830,1204680,155307,587,985347,1072827,155219,585,N/A,58.9,N/A,70.7,45.4,2091767,54.8,2886070,789559,92.9,677753,79.8,359906,281415,36046,386,1753300,206310,949740,2845173,68,2329200,55.6,985814,1187502,155297,587,5622680,134293,192775,2885715,62.6,2346343,50.9,985826,1204631,155299,587,5681388,123272,175126,661457,28.2,658252,29.7,520390,39.7,336857,49.7,321331,328502,11574,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,5001010,165717,215779,3838572,127198,3536602,152594,1903772,63.1,1730883,74.7,1552662,51.5,1425327,61.5,2827270,1926040,247700,0,117281,1651336,2066268,3687,640202,802701,108680,1079,639068,677307,108146,806,N/A,63.1,N/A,74.7,48.6,1339449,57.8,1903772,486049,92.8,410883,78.4,230605,164311,15513,454,1112877,212429,954606,1856469,72.6,1526971,59.7,640189,777383,108556,843,3765755,147258,195562,1902289,67.2,1552490,54.9,640191,802658,108563,1078,3837026,135616,176755,487782,31.4,484999,34,362307,45.6,232030,56.5,240404,239121,7854,403,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,83310,175789,265869,78810,166294,59684,190471,40874,86.2,29934,95,34756,73.3,26682,85.2,62010,20700,600,0,550,19944,58313,3,8822,25374,559,1,8804,17319,558,1,N/A,86.2,N/A,95,72.2,26154,83.5,40874,2976,90.8,2718,82.9,1140,1553,25,0,6390,194936,2541490,36304,95,32355,87.6,8821,22974,559,1,71776,194425,225668,40870,94.8,34756,80.6,8822,25374,559,1,78806,182802,193250,3725,10.7,3709,13.9,2065,21.2,795,29.2,1185,2540,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,12623930,173436,223889,10606986,145726,9719323,172375,4929173,67.7,4432079,78.6,4170464,57.3,3811176,67.6,7386750,4649680,587500,0,345305,4226986,6013573,21122,1570317,2277551,316732,5864,1569636,1919488,316283,5769,N/A,67.7,N/A,78.6,53.8,3554537,63,4929173,1255471,95,1095540,83.7,533989,508996,49384,3171,3105208,237286,964665,4783699,77.1,4096246,66,1570276,2203634,316487,5849,10381839,167286,203413,4928440,72,4170173,60.9,1570299,2277513,316497,5864,10606108,154858,184320,1305538,31.3,1294873,34,922982,45,575124,52.5,578863,708975,17152,548,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,300210,N/A,N/A,280274,N/A,280272,N/A,135913,N/A,135911,N/A,128614,N/A,128613,N/A,155610,128500,16100,0,14094,121145,145003,32,49990,65204,13420,0,49990,65204,13419,0,N/A,N/A,N/A,N/A,0,117002,0,135913,3769,0,3595,0,1720,1680,195,0,8905,0,0,135911,0,128613,0,49990,65204,13419,0,280272,0,0,135911,0,128613,0,49990,65204,13419,0,280272,0,0,28498,22.2,28498,22.2,9929,34.8,1718,47.8,16446,11392,638,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,76439625,193458,249659,66672914,168740,60459561,197467,32949335,83.4,29472317,95,26287137,66.5,23639493,77.2,46051865,26847560,3540200,0,2211833,25272905,39172095,16081,9224286,15007876,2050314,4661,9198118,12394626,2042452,4297,N/A,83.4,N/A,95,62.8,22175305,72.4,32949335,6516304,95,5077375,87,2561139,2312515,202317,1404,14497254,248321,1309320,31898580,94.8,25623113,76.2,9223473,14345279,2049757,4604,64953511,193048,227186,32944320,88.7,26285921,70.8,9223939,15007380,2049941,4661,66667020,179558,205879,9130489,34.7,9041931,38.2,5537351,50,2993564,59,4129718,4848357,151991,423,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,10884185,189003,241913,9593260,166586,8739099,194236,4312780,74.9,3853586,85.7,3826926,66.5,3447433,76.6,6476505,3929780,477900,0,324558,3761920,5498935,7847,1386646,2138775,299330,2175,1382868,1764369,298098,2098,N/A,74.9,N/A,85.7,63,3248297,72.2,4312780,824499,95,751822,89.2,358449,365945,26666,762,2131041,252969,1292030,4148901,84.1,3710994,75.2,1386596,2022931,299300,2167,9311665,188646,220503,4312451,79.5,3826864,70.5,1386632,2138750,299307,2175,9592891,176777,200573,1597391,41.7,1584524,46,968825,60.8,534266,71.1,741003,835233,20938,217,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,7482495,209871,263668,6743344,189139,6136918,216253,3189596,89.5,2859693,95,2672784,75,2411676,85,4370635,2780060,331800,0,237776,2574944,3929417,1207,918805,1529737,223803,439,918297,1269428,223619,332,N/A,89.5,N/A,95,70.5,2252527,79.4,3189596,717471,95,596579,94.7,234689,339570,22221,99,1714273,272001,1187240,3083717,95,2604176,83.8,918495,1461523,223722,436,6567352,211444,240909,3188281,94.2,2672343,79,918597,1529584,223724,438,6741611,199245,221142,1070760,40.1,1060608,44,732459,57.1,402465,67.5,514513,543210,13020,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
