State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
District of Columbia,1611055,228276,278931,1303997,184768,1232794,213441,629884,89.3,581884,95,478939,67.9,447695,77.5,976735,566020,68300,0,34581,477007,791903,506,167525,273451,37615,348,167452,242337,37580,326,N/A,89.3,N/A,95,63.9,419896,72.7,629884,95612,95,77673,88.9,41420,33402,2769,82,238213,272733,1844520,610418,95,468403,76.8,167517,262943,37599,344,1279726,209876,264214,629793,95,478916,72.5,167519,273437,37612,348,1303865,197441,243958,135687,28.3,134590,30.1,68035,39.4,38074,49,58247,76380,1043,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,6254550,N/A,N/A,6915223,N/A,6520003,N/A,3861639,N/A,3639684,N/A,2879514,N/A,2715455,N/A,4026070,2018980,209500,0,308206,2314349,4270851,21817,900257,1704420,274616,221,900059,1540773,274404,219,N/A,N/A,N/A,N/A,0,2441821,0,3861639,330944,0,172302,0,59522,103654,9126,0,545160,0,0,3827616,0,2862251,0,900232,1687210,274588,221,6863843,0,0,3861483,0,2879450,0,900238,1704395,274596,221,6915015,0,0,1179,0,1175,0,139,0,30,0,386,783,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,1985875,203938,257842,1600251,164337,1477384,191820,751597,77.2,687272,89.2,627765,64.5,577365,75,1143615,752460,89800,0,58593,621360,918447,1851,224200,348363,54616,586,224067,298164,54556,578,N/A,77.2,N/A,89.2,60.5,538348,69.9,751597,204440,95,175564,92.9,72405,93047,9797,315,492008,260451,1051250,732429,87.2,615768,73.3,224187,336390,54605,586,1568173,186730,236468,751451,81.8,627736,68.3,224189,348349,54612,586,1600079,174102,216080,223601,35.6,222039,38.5,169746,50.3,106202,60.5,98641,121201,3746,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,40827295,190091,236710,34001604,158311,31838627,184595,16093212,74.9,14907605,86.4,13659111,63.6,12746644,73.9,24348275,14201220,2277800,0,1401771,12689193,19790302,120338,4714660,7605286,1304099,35066,4712711,6696782,1302444,34707,N/A,74.9,N/A,86.4,58.8,11711093,67.9,16093212,4654905,95,4002917,89,1926745,1845292,210627,20253,11258207,250331,907810,15802431,84.5,13485528,72.1,4713898,7433339,1303268,35023,33524483,179313,218374,16085339,79.1,13657461,67.2,4713946,7605147,1303304,35064,33992794,167139,200744,4464061,32.7,4437102,34.8,3423786,46.1,2187176,54.6,1979108,2399919,80978,4056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,109760,107271,164499,84437,82522,81562,122238,48976,47.9,47198,70.7,43210,42.2,42139,63.2,16120,81440,12200,0,12768,68670,2991,8,30022,1250,11933,5,30017,207,11910,5,N/A,47.9,N/A,70.7,31.9,31556,47.3,48976,3680,76.5,3422,71.1,2333,14,1075,0,6474,134539,2280960,48613,61.4,43200,54.6,30021,1249,11925,5,84023,106167,138687,48971,52.8,43206,46.5,30022,1250,11929,5,84432,90962,118249,3788,8.8,3785,9,1449,11.5,408,11.9,3451,15,322,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,18382505,173135,226566,13487907,127036,12486447,153896,6543890,61.6,5969402,73.6,5451292,51.3,5043803,62.2,10733285,6855120,794100,0,321674,5336430,7795942,33861,2066698,3072251,302100,10243,2065737,2667231,301637,9198,N/A,61.6,N/A,73.6,49.1,4806917,59.2,6543890,1402536,92.5,1227149,80.9,668350,522048,34479,2272,3309493,218167,1211800,6399655,71.2,5375603,59.8,2066617,2996816,301980,10190,13261619,147546,204520,6542281,65.7,5451050,54.7,2066645,3072150,302016,10239,13486094,135391,184547,1592147,29.2,1578854,31.3,1084228,41.2,606035,49.4,732345,839711,19181,910,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,281460,167049,245722,294403,174731,260749,227641,141227,83.8,122410,95,127315,75.6,112780,95,180380,78580,22500,0,11757,94526,188067,53,38272,78509,10530,4,38258,63996,10522,4,N/A,83.8,N/A,95,69.8,103051,90,141227,17017,95,15994,95,6562,8857,572,3,42102,262138,1752440,137209,95,125718,95,38271,76914,10529,4,288724,219870,214338,141215,92.4,127314,83.3,38271,78509,10530,4,294390,192713,184249,33213,26.1,33058,29.3,20977,47.1,9330,58.3,12683,19886,644,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,2975310,210140,266604,2273074,160542,2079787,186360,1269622,89.7,1144960,95,905468,64,835251,74.8,1795090,1057320,122900,0,58686,740817,1379507,94064,286180,543269,57872,18147,285561,473855,57705,18130,N/A,89.7,N/A,95,60.2,782191,70.1,1269622,309041,95,242408,90.3,99949,129922,11119,1418,615382,229237,1108340,1226106,95,888564,73.4,286128,526464,57836,18136,2213727,182785,245668,1268478,95,905292,68,286133,543184,57838,18137,2272466,170778,223598,166692,18.4,165858,19.9,120928,26.6,79004,32.6,54056,110895,1716,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,5713515,181090,235296,4669489,148000,4311876,177573,2057214,65.2,1867412,76.9,1867793,59.2,1709355,70.4,3299675,2133840,280000,0,171254,1873334,2624462,439,696354,1013967,157190,282,696144,855832,157100,279,N/A,65.2,N/A,76.9,55.6,1595385,65.7,2057214,542003,95,505937,91.5,265916,225556,14346,119,1418886,256601,1033270,1994615,74.5,1822798,68.1,696341,968989,157187,281,4561036,170424,213487,2057123,69.5,1867785,63.1,696350,1013965,157188,282,4669402,157780,193061,852496,45.6,845856,49.5,605952,63.1,372796,73.7,400255,440803,11423,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,2872610,160745,214556,2037350,114005,2035443,152028,934970,52.3,931061,69.5,828305,46.4,825705,61.7,1676690,1045120,150800,0,80126,839809,1114431,2984,316221,436063,75316,705,316194,433520,75294,697,N/A,52.3,N/A,69.5,43,765511,57.2,934970,270066,92.9,246542,84.8,113317,120972,11955,298,664759,228699,988272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324255,39.1,324231,39.3,237429,51.9,150645,61.1,142227,177297,4666,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
