State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 12+ who have received a booster dose,Percent of fully vaccinated people 12+ with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,686495805,206770,265816,549939423,165640,498804939,193141,252791817,76.1,226419573,87.7,214745073,64.7,193118806,74.8,401988485,254212620,30294700,0,18367598,207402708,323674221,494896,75182514,122714376,16707115,141068,75096775,101211066,16676530,134435,N/A,76.1,N/A,87.7,61.3,181946320,70.5,252791817,56091245,95,48581344,88.7,23165276,23010001,2344337,61730,136676829,249447,1252910,243431431,85.9,207585660,73.2,75176475,115567356,16702189,139640,533333778,188111,242133,252723259,80.9,214726791,68.8,75179362,122702362,16704102,140965,549854569,176086,219844,92807720,43.2,92792231,44.7,89887725,46.5,31999065,65.9,40315920,51061277,1407765,22758,46474330,34937990,5094931,N/A,47672072,37578220,1313080,22563,43184499,3248337,32063,9431,2714882,32182785,32442,7881,1732295,2112942,1248306,1388,40396,34156,269,3863,92.9,7,0.1,0,7.8,92.1,0.1,0,34,41.5,24.5,0,51.3,43.4,0.3,4.9
Alaska,1430265,195513,259312,1090981,149134,981558,177960,500156,68.4,444318,80.6,444763,60.8,397732,72.1,791845,554720,83700,0,45670,421313,623039,959,158839,244818,40996,110,158408,198387,40833,104,N/A,68.4,N/A,80.6,56.2,364168,66,500156,85790,93.7,78121,85.3,42835,31574,3669,43,211836,231292,1561630,479740,78.8,429500,70.5,158832,229569,40989,110,1054818,173240,234902,499988,73.5,444721,65.4,158834,244786,40991,110,1090776,160299,210189,180744,40.6,180697,42.1,174600,43.9,55044,70.5,80624,97407,2690,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,9207240,187781,241351,6068347,123763,5674614,148750,3026281,61.7,2805868,73.6,2453426,50,2292167,60.1,4817680,3995160,394400,0,174025,2647532,3246323,467,1015281,1274367,163131,647,1014785,1113704,163035,643,N/A,61.7,N/A,73.6,47.6,2173289,57,3026281,808182,95,688555,81,365564,285801,36778,412,1826849,214965,1083410,2966521,70.9,2417721,57.7,1015262,1238691,163121,647,5970349,142597,219907,3025878,65.7,2453364,53.2,1015277,1274317,163123,647,6067889,131658,199774,831882,33.9,831798,34.4,819729,35.8,387132,56.2,410270,406719,14819,74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,5838520,193469,251916,4071732,134924,3720356,160523,1979222,65.6,1786241,77.1,1609584,53.3,1462364,63.1,3143660,2443860,251000,0,121448,1741529,2204887,3868,656248,840521,111636,1179,655084,695351,111088,841,N/A,65.6,N/A,77.1,50.6,1381401,59.6,1979222,494974,94.5,416148,79.4,233740,166222,15717,469,1150454,219602,1114470,1918083,75,1569033,61.4,656227,800419,111507,880,3970361,155259,228313,1977426,69.9,1609306,56.9,656235,840378,111515,1178,4069768,143842,206356,602778,37.4,602672,38.4,589560,40.3,257934,62,295839,296915,9589,435,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,92810,195835,296186,85962,181385,62787,200373,42575,89.8,30429,95,38066,80.3,27258,87,70710,21500,600,0,560,21044,64309,49,9060,28410,572,24,9041,17622,571,24,N/A,89.8,N/A,95,79.3,26774,85.4,42575,3025,92.3,2775,84.7,1160,1586,26,3,6788,207077,2831300,36921,95,33164,89.8,9059,23509,572,24,75346,204096,251402,42570,95,38066,88.3,9060,28410,572,24,85957,199390,215286,5957,15.6,5956,18,5824,21.4,1117,40.3,1906,4051,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,13979320,192057,247927,11466594,157536,10371254,183937,5180890,71.2,4599944,81.6,4352169,59.8,3917524,69.5,8010500,5365220,603600,0,360309,4523042,6558947,24296,1611109,2407488,326996,6576,1610384,1974139,326536,6465,N/A,71.2,N/A,81.6,56.5,3676776,65.2,5180890,1280183,95,1109808,84.8,540702,515316,50299,3491,3235776,247264,1068240,4979516,80.2,4224114,68.1,1611057,2279750,326751,6556,11128201,179312,225253,5179987,75.6,4351872,63.5,1611092,2407444,326760,6576,11465536,167406,204110,1701268,39.1,1700839,40.3,1646435,42,648922,58.5,751070,927148,22037,1013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,329630,N/A,N/A,296751,N/A,296749,N/A,140222,N/A,140220,N/A,130703,N/A,130702,N/A,167310,146220,16100,0,14157,131435,151127,32,51193,66033,13477,0,51193,66033,13476,0,N/A,N/A,N/A,N/A,0,119939,0,140222,3863,0,3615,0,1733,1687,195,0,9449,0,0,140220,0,130702,0,51193,66033,13476,0,296749,0,0,140220,0,130702,0,51193,66033,13476,0,296749,0,0,38501,29.5,38501,29.5,38501,29.5,2138,59.1,22917,14920,642,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,85497625,216383,279244,71044784,179805,63523342,207473,32212960,81.5,28381187,92.7,27708341,70.1,24497548,80,51233805,30581120,3682700,0,2268182,26601653,42159745,15204,9555814,16082283,2065436,4808,9529149,12906382,2057578,4439,N/A,81.5,N/A,92.7,67,23259198,76,32212960,5970655,95,5179831,88.7,2617917,2359525,200936,1453,14643125,250819,1464470,30834602,91.6,26634014,79.2,9555040,15009398,2064828,4748,68591949,203862,254107,32199273,86.7,27703751,74.6,9555508,16078372,2065064,4807,71026823,191300,230275,13144245,47.4,13142760,49.3,12647209,51.6,3645806,70.4,5740534,7195896,207303,512,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,11800575,204916,262281,10271794,178369,9274742,206141,4501160,78.2,3999553,88.9,3974464,69,3547449,78.8,6961335,4353140,486100,0,337020,3982128,5943592,9054,1420308,2242554,309096,2506,1419687,1816598,308750,2414,N/A,78.2,N/A,88.9,65.7,3359426,74.7,4501160,851528,95,774595,91.9,369291,375702,28743,859,2215067,262943,1400810,4309857,87.3,3823314,77.5,1420238,2091509,309071,2496,9928367,201139,239069,4499923,82.9,3974392,73.2,1420294,2242515,309077,2506,10270502,189264,217461,1967941,49.5,1967678,51.5,1899118,53.5,569301,73.5,880181,1062346,24985,429,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,8265235,231825,291250,7249762,203343,6517350,229658,3337878,93.6,2966584,95,2764670,77.5,2457217,86.6,4744075,3183060,338100,0,246228,2742833,4259483,1218,936371,1598816,229040,443,935835,1292193,228851,338,N/A,93.6,N/A,95,73.4,2311117,81.4,3337878,728574,95,600447,95,236090,341616,22640,101,1764942,280041,1311430,3205101,95,2659035,85.6,936041,1493598,228956,440,7009805,225690,266110,3336442,95,2764226,81.7,936163,1598661,228960,442,7247907,214208,244275,1350791,48.9,1350664,50.8,1301593,53,438392,73,622881,711362,16529,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
