State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 12+ who have received a booster dose,Percent of fully vaccinated people 12+ with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
District of Columbia,1762305,249707,305118,1407104,199377,1316404,227917,668652,94.7,612053,95,501905,71.1,463761,80.3,1065425,627580,69300,0,35730,508674,861938,762,172703,290157,38635,410,172625,252164,38593,379,N/A,94.7,N/A,95,67.3,437069,75.7,668652,98412,95,79377,90.9,42113,34315,2846,103,247514,283382,2017680,643789,95,486847,79.8,172695,275136,38614,402,1373533,225260,289019,668490,95,501875,76,172697,290136,38632,410,1406924,213047,266862,171938,34.3,171898,35.3,166952,36,43383,54.7,72789,97797,1310,42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,6625510,N/A,N/A,7215489,N/A,6746358,N/A,4075378,N/A,3804800,N/A,3088279,N/A,2894224,N/A,4257570,2157940,210000,0,318855,2393930,4480106,22598,959206,1843656,285260,157,958970,1650070,285033,151,N/A,N/A,N/A,N/A,0,2610065,0,4075378,353573,0,190720,0,66408,114786,9526,0,571145,0,0,4010202,0,3055257,0,959180,1810688,285232,157,7117105,0,0,4075168,0,3088213,0,959187,1843629,285240,157,7215226,0,0,1713,0.1,1713,0.1,1709,0.1,58,0,511,1169,33,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,2211055,227063,287078,1723629,177007,1573049,204241,793346,81.5,718395,93.3,655127,67.3,594942,77.2,1258955,855800,96300,0,61221,663257,997133,2018,230719,367268,56486,654,230578,307296,56425,643,N/A,81.5,N/A,93.3,63.6,559345,72.6,793346,208408,95,177681,94.1,73276,94112,9953,340,507986,268909,1170450,767212,91.4,636113,75.7,230706,348279,56475,653,1677570,199757,263281,793189,86.3,655098,71.3,230708,367254,56482,654,1723449,187526,240582,284502,43.4,284448,44.7,275702,46.3,116767,65.7,123163,156383,4924,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,45399045,211377,263216,35955869,167410,33433529,193842,16717084,77.8,15390115,89.2,14118218,65.7,13054703,75.7,26288565,16776380,2334100,0,1450683,13297873,21076535,130778,4813784,7928030,1338828,37576,4811644,6869029,1337122,36908,N/A,77.8,N/A,89.2,61.1,12056977,69.9,16717084,4733108,95,4045992,90,1946153,1865161,213637,21041,11620266,258381,1009470,16332307,87.4,13834687,74,4812954,7646357,1337974,37402,35274184,188672,242827,16708869,82.2,14116489,69.4,4813048,7927877,1338016,37548,35946552,176746,223223,5370757,38,5370177,38.8,5271478,40.4,2403470,59.4,2326316,2939729,98993,5719,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,150100,146697,224957,100086,97817,86669,129892,58085,56.8,48356,72.5,46485,45.4,43044,64.5,50360,86940,12800,0,13039,73209,13815,23,30589,3716,12168,12,30583,306,12143,12,N/A,56.8,N/A,72.5,35.4,32815,49.2,58085,3746,77.8,3462,71.9,2355,19,1087,1,6847,142290,3119290,53221,67.2,45058,56.9,30588,2298,12160,12,93738,118443,189659,58073,62.6,46481,50.1,30589,3716,12164,12,100074,107814,161709,7132,15.3,7128,15.8,7115,16.5,692,20,6724,55,353,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,20519795,193265,252908,14281388,134509,13092416,161365,6812247,64.2,6166264,76,5671974,53.4,5183494,63.9,11717555,7987040,815200,0,333288,5565451,8344817,37832,2109557,3237297,313909,11211,2108522,2751514,313429,10029,N/A,64.2,N/A,76,51.2,4952750,61,6812247,1430098,94.3,1246095,82.1,678820,529707,35063,2505,3413849,225046,1352700,6620057,73.7,5543585,61.7,2109479,3109193,313785,11128,13951457,155221,228300,6810506,68.4,5671713,56.9,2109511,3237174,313822,11206,14279457,143356,206004,1967014,34.7,1966586,35.5,1921733,37.1,675118,54.2,879789,1062647,23235,1343,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,317160,188238,276889,327348,194284,284095,248023,149001,88.4,126275,95,134269,79.7,116020,95,209180,84780,23200,0,12746,104456,210014,132,39770,83767,10688,44,39753,65545,10678,44,N/A,88.4,N/A,95,74.3,106882,93.3,149001,17313,95,16239,95,6648,8970,605,16,44296,275799,1974720,141785,95,129634,95,39769,79134,10687,44,315250,240070,241524,148975,95,134268,87.9,39769,83767,10688,44,327321,214270,207618,50722,37.8,50709,39.1,48739,42,10973,67.6,18776,30862,1084,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,3308180,233650,296431,2789550,197020,2506517,224597,1217519,86,1075478,95,1089305,76.9,966326,86.6,1960460,1223320,124400,0,69979,1014735,1704544,292,360832,663978,64482,13,359954,542086,64273,13,N/A,86,N/A,95,74.1,925866,83,1217519,267528,95,244524,91.1,107249,125587,11684,4,691280,257510,1232340,1161931,95,1044729,86.3,360776,619487,64453,13,2690962,222190,273153,1216197,91.4,1089035,81.8,360784,663783,64455,13,2788649,209570,248613,532777,48.9,532716,51,512283,53,186948,76.5,238646,288303,5827,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,6211455,196872,255802,4907301,155537,4491616,184975,2118546,67.1,1911268,78.7,1922643,60.9,1740575,71.7,3549135,2375020,287300,0,176210,1951646,2778945,500,706868,1053939,161503,333,706643,872199,161408,325,N/A,67.1,N/A,78.7,57.6,1634100,67.3,2118546,546283,95,508614,92,267259,226711,14516,128,1448539,261964,1123320,2043968,76.4,1859541,69.5,706853,990859,161498,331,4768509,178177,232093,2118408,71.6,1922633,65,706864,1053935,161501,333,4907165,165814,209887,986416,51.3,986322,53,962465,55.3,395842,77.8,453109,519901,13381,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,3199490,179036,238971,2352118,131619,2159305,161279,1074614,60.1,973617,72.7,945244,52.9,858873,64.1,1801310,1242580,155600,0,85185,889044,1374646,3243,325568,539155,79749,772,325410,453030,79679,754,N/A,60.1,N/A,72.7,49.6,799144,59.7,1074614,274045,94.3,249087,85.7,114444,122166,12164,313,683549,235163,1100730,1041876,69.7,918520,61.4,325558,512468,79730,764,2294261,153421,213954,1074531,64.3,945204,56.6,325560,539139,79733,772,2352008,140766,191487,383152,40.5,383149,41.7,383002,44.6,163995,65.8,168657,208713,5700,82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
