State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
District of Columbia,1704685,241543,295142,1360260,192740,1277624,221203,654490,92.7,601510,95,491973,69.7,457183,79.2,1033425,602160,69100,0,35112,494445,830185,518,170658,282625,38323,367,170583,247972,38283,345,N/A,92.7,N/A,95,65.8,429927,74.4,654490,97442,95,78689,90.1,41801,33985,2814,89,242767,277947,1951710,632086,95,479268,78.6,170650,269953,38302,363,1331464,218361,279569,654371,95,491949,74.5,170652,282610,38320,367,1360113,205959,258137,157878,32.1,153947,33.7,76041,43.7,41102,52.2,67193,89478,1187,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,6500690,N/A,N/A,7070254,N/A,6637867,N/A,3970738,N/A,3724905,N/A,2927453,N/A,2750595,N/A,4169150,2121540,210000,0,313462,2355074,4379540,22178,910652,1736668,279872,261,910445,1560238,279656,256,N/A,N/A,N/A,N/A,0,2471771,0,3970738,341512,0,174168,0,60293,104551,9324,0,557464,0,0,3923848,0,2902319,0,910627,1711587,279844,261,6998103,0,0,3970560,0,2927389,0,910633,1736643,279852,261,7070024,0,0,1405,0,1401,0.1,179,0,34,0,494,901,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,2114935,217192,274598,1670341,171534,1532931,199032,778977,80,708240,92,642616,66,587446,76.3,1209655,810280,95000,0,60033,646668,961691,1949,227762,358370,55858,626,227626,303405,55798,617,N/A,80,N/A,92,62.2,550689,71.5,778977,207287,95,176795,93.6,72894,93663,9910,328,501504,265478,1119570,755629,90,627234,74.7,227749,343013,55847,625,1630737,194180,251836,778824,84.7,642587,69.9,227751,358356,55854,626,1670164,181728,230123,262015,40.8,256455,43.7,187164,54.9,113060,63.9,114691,142781,4525,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,43899025,204393,254519,35195404,163869,32812378,190241,16535165,77,15249633,88.4,13933423,64.9,12938766,75,25666665,15914660,2317700,0,1428445,13071577,20570494,124888,4781528,7788055,1327628,36212,4779491,6797591,1325950,35734,N/A,77,N/A,88.4,60.2,11930597,69.2,16535165,4714569,95,4030469,89.6,1939538,1857485,212793,20653,11481758,255301,976112,16178979,86.5,13701853,73.3,4780739,7558202,1326788,36124,34593798,185033,234804,16527132,81.3,13931756,68.5,4780809,7787914,1326827,36206,35186425,173008,215847,5106433,36.6,5026161,38.8,3759051,50.1,2336588,58,2230950,2776832,93873,4778,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,116700,114054,174900,88891,86875,83349,124916,51998,50.8,47654,71.4,43533,42.5,42390,63.5,21260,83040,12400,0,12846,70276,5755,14,30183,1341,12001,8,30178,228,11976,8,N/A,50.8,N/A,71.4,32.4,32052,48,51998,3701,76.9,3436,71.4,2339,17,1079,1,6612,137406,2425190,50158,63.4,43498,55,30182,1315,11993,8,86972,109894,147456,51989,56,43529,46.9,30183,1341,11997,8,88882,95756,125726,4964,11.4,4961,11.7,1896,15,521,15.2,4606,25,333,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,19744915,185967,243358,13956008,131444,12847862,158351,6742549,63.5,6120663,75.4,5592040,52.7,5142175,63.4,11355755,7581060,808100,0,327857,5487725,8103910,36516,2104567,3165095,311591,10787,2103566,2717809,311117,9683,N/A,63.5,N/A,75.4,50.5,4908475,60.5,6742549,1424471,93.9,1239356,81.7,675722,526374,34900,2360,3369018,222091,1301620,6566924,73.1,5490628,61.1,2104493,3063941,311468,10726,13670850,152099,219678,6740926,67.7,5591798,56.1,2104521,3164989,311505,10783,13954185,140090,198225,1848898,33.1,1814005,35.3,1202137,45,650915,52.5,836066,989626,22045,1161,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,304460,180700,265802,307914,182750,270556,236203,144375,85.7,123881,95,129848,77.1,113801,95,199180,82780,22500,0,12094,98480,197257,83,38722,80729,10378,19,38706,64707,10369,19,N/A,85.7,N/A,95,71.5,104442,91.2,144375,17158,95,16106,95,6609,8906,584,7,43177,268831,1895650,138975,95,127005,95,38721,77888,10377,19,299563,228124,231853,144354,94.5,129847,85,38721,80729,10378,19,307892,201551,199305,41075,31.6,40382,35.5,24109,53.7,10158,63.1,15681,24597,797,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,3204520,226328,287142,2691640,190105,2432645,217978,1199436,84.7,1064109,95,1071454,75.7,958992,85.9,1915260,1165460,123800,0,67743,984320,1639301,276,357976,649757,63704,17,357107,538371,63497,17,N/A,84.7,N/A,95,72.6,915719,82.1,1199436,266216,95,243728,90.8,106847,125253,11623,5,680975,253671,1193720,1148935,94.9,1035803,85.5,357922,614189,63675,17,2606766,215238,264594,1198318,90.1,1071279,80.5,357928,649657,63677,17,2691043,202235,240823,484210,45.2,470046,49,313313,64.6,179422,73.6,217980,261136,5093,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,6013375,190594,247644,4815930,152641,4423245,182159,2097866,66.5,1896986,78.1,1899255,60.2,1727767,71.2,3456235,2273340,283800,0,174343,1923286,2717839,462,702574,1036054,160330,297,702357,864880,160236,294,N/A,66.5,N/A,78.1,56.7,1618386,66.6,2097866,544939,95,507433,91.8,266630,226219,14460,124,1436709,259824,1087500,2027566,75.8,1844191,68.9,702560,981010,160325,296,4689553,175226,224691,2097752,70.9,1899246,64.2,702570,1036051,160328,297,4815820,162728,203193,941509,49.6,923085,53.4,644083,66.6,387354,76.3,436078,492722,12692,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,3099870,173462,231530,2301877,128808,2120474,158379,1061254,59.4,963888,72,930111,52,849207,63.4,1752010,1193660,154200,0,83512,872329,1342913,3123,322902,527698,78769,742,322759,447020,78702,726,N/A,59.4,N/A,72,48.7,788738,58.9,1061254,272842,93.9,247983,85.3,114008,121583,12087,305,675790,232494,1066460,1030745,68.9,907114,60.7,322893,504735,78752,734,2249879,150453,207293,1061179,63.5,930077,55.7,322895,527685,78755,742,2301778,137760,185525,363319,39.1,363229,42.8,256217,55.5,158921,64.1,159794,198142,5309,74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
