State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,662359855,199501,256470,537171553,161794,489592858,189574,251518114,75.8,226157372,87.6,210850212,63.5,190935610,73.9,389963975,242353680,30042200,0,18153278,203763480,314783787,471008,74396928,119720489,16598306,134489,74312812,99925920,16568099,128779,N/A,75.8,N/A,87.6,60,179375741,69.5,251518114,56472558,95,48349034,88.2,23063304,22888103,2337625,60002,135368803,247059,1208860,242921485,85.7,204961842,72.3,74391252,113843695,16593483,133412,522620730,184333,233620,251465689,80.5,210839771,67.5,74393777,119716227,16595321,134446,537110765,172005,212115,85218657,40.4,83112695,43.5,54246860,54.9,30616746,63.3,37426138,46472180,1301244,19095,42336137,32383310,4629805,N/A,43340617,34848746,1212552,18931,39310932,2987219,29870,8116,2449593,29896769,30090,6858,1543598,1932693,1152360,1154,36494,32065,232,2803,92.9,7.1,0.1,0,7.6,92.3,0.1,0,33.3,41.7,24.9,0,51,44.8,0.3,3.9
Alaska,1384505,189258,251015,1063144,145329,962171,174445,495263,67.7,441297,80,425905,58.2,383780,69.6,767345,533660,83500,0,42032,412102,608102,908,154559,232318,38919,109,154156,190755,38767,102,N/A,67.7,N/A,80,53.7,350896,63.6,495263,86104,94,77390,84.5,42599,31215,3533,43,210271,229584,1511670,476180,78.2,413908,68,154553,220334,38912,109,1031617,169429,227387,495164,72.8,425891,62.6,154555,232313,38914,109,1063030,156221,203465,165606,38.9,161146,42,100239,57.1,52407,67.7,75143,88200,2240,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,8840730,180306,231743,5933422,121012,5566702,145921,2992597,61,2781110,72.9,2417639,49.3,2268976,59.5,4690210,3756820,393700,0,170794,2601300,3160918,410,1006353,1248726,161940,620,1005861,1100650,161847,618,N/A,61,N/A,72.9,46.8,2148504,56.3,2992597,804681,94.7,685640,80.7,364066,284502,36671,401,1804137,212292,1040290,2939042,70.2,2390952,57.1,1006335,1222067,161930,620,5850637,139737,211153,2992218,64.9,2417577,52.5,1006349,1248676,161932,620,5932989,128731,191822,788216,32.6,778577,34.3,597468,44.8,373998,54.5,389606,384441,14113,56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,5558320,184184,239826,3975287,131728,3644317,157242,1954967,64.8,1768297,76.3,1583884,52.5,1446642,62.4,3043560,2264860,249900,0,119168,1706422,2145868,3829,649610,822540,110568,1166,648461,687323,110027,831,N/A,64.8,N/A,76.3,49.7,1363708,58.8,1954967,492475,94,414253,79.1,232663,165480,15644,466,1135188,216688,1060990,1898232,74.2,1551049,60.7,649594,790144,110441,870,3885950,151958,217356,1953368,69,1583707,56,649599,822494,110449,1165,3973623,140443,196453,563239,35.6,553202,38.2,400331,49.8,248717,60,277477,276710,8632,420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,86710,182963,276719,83111,175369,61368,195845,42051,88.7,30242,95,36832,77.7,27048,86.3,64610,21500,600,0,555,20526,62013,17,8974,27283,567,8,8955,17519,566,8,N/A,88.7,N/A,95,76.6,26535,84.7,42051,3012,91.9,2760,84.2,1158,1574,26,2,6620,201952,2645210,36701,95,32857,89,8973,23309,567,8,73726,199707,234878,42047,95,36832,85.4,8974,27283,567,8,83107,192779,201137,4853,13.2,4794,17.7,2616,26.6,975,35.3,1533,3320,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,13440520,184655,238371,11084122,152281,10086404,178885,5080333,69.8,4535526,80.4,4262622,58.6,3867329,68.6,7741200,5099520,599800,0,353449,4399742,6308340,22591,1591140,2341822,323470,6190,1590439,1947784,323015,6091,N/A,69.8,N/A,80.4,55.2,3620165,64.2,5080333,1272162,95,1103281,84.3,537625,512320,50021,3315,3178907,242918,1027070,4902631,79,4162259,67.1,1591094,2241764,323226,6175,10798054,173992,216571,5079539,74.2,4262331,62.2,1591123,2341783,323235,6190,11083177,161824,196243,1552428,36.4,1515586,39.2,1032577,49.8,621099,56.3,688459,842808,20424,737,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,316210,N/A,N/A,290447,N/A,290445,N/A,138525,N/A,138523,N/A,129801,N/A,129800,N/A,162210,137900,16100,0,14150,127324,148941,32,50713,65616,13472,0,50713,65616,13471,0,N/A,N/A,N/A,N/A,0,118710,0,138525,3823,0,3603,0,1724,1684,195,0,9274,0,0,138523,0,129800,0,50713,65616,13471,0,290445,0,0,138523,0,129800,0,50713,65616,13471,0,290445,0,0,34826,26.8,34826,26.8,11729,40.9,2019,56,20379,13784,641,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,82419955,208594,269192,70346719,178038,63320128,206810,34100720,86.3,30305775,95,27074987,68.5,24170358,78.9,49509135,29277220,3633600,0,2266348,26535792,41528064,16515,9410732,15569880,2089575,4800,9384383,12699953,2081592,4430,N/A,86.3,N/A,95,65,22798428,74.5,34100720,6610108,95,5149819,88.2,2598908,2344841,204628,1442,14897956,255184,1411760,32825740,95,26219683,77.9,9409889,14716086,2088968,4740,68212667,202735,244960,34092179,91.8,27073623,72.9,9410380,15569244,2089199,4800,70337139,189442,221986,11194392,41.3,10850933,44.9,6270315,55.7,3243613,63,4949226,6063959,180731,476,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,11440755,198668,254283,9994780,173559,9066297,201508,4443427,77.2,3960305,88,3915242,68,3513434,78.1,6743855,4214000,482900,0,331152,3895517,5759607,8504,1406428,2200199,306256,2359,1405822,1799422,305916,2274,N/A,77.2,N/A,88,64.6,3321296,73.8,4443427,848485,95,771557,91.6,367910,374287,28539,821,2189157,259868,1358100,4264555,86.4,3782935,76.6,1406362,2067992,306231,2350,9682366,196156,231779,4442417,81.9,3915175,72.1,1406414,2200165,306237,2359,9993724,184164,210830,1844779,47.1,1796519,51.1,1044232,64.4,555719,72,836778,983963,23684,354,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,7973715,223649,280978,7053281,197832,6371823,224530,3287206,92.2,2930483,95,2720695,76.3,2434319,85.8,4614275,3022740,336700,0,242626,2686287,4123155,1213,927133,1566054,227068,440,926612,1280494,226880,333,N/A,92.2,N/A,95,72.1,2283820,80.5,3287206,724537,95,598244,94.9,235331,340375,22438,100,1744468,276792,1265180,3163619,95,2631283,84.7,926814,1477048,226984,437,6838753,220183,256724,3285839,95,2720251,80.4,926925,1565899,226988,439,7051493,208404,235659,1252281,46,1218229,50,802038,62.3,424998,71,590207,646903,15154,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
