State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
District of Columbia,1600875,226833,277169,1281871,181633,1213189,210047,622859,88.3,576110,95,476149,67.5,445768,77.2,968815,563960,68100,0,34261,468985,778128,497,166817,271543,37445,344,166745,241290,37410,323,N/A,88.3,N/A,95,63.5,417468,72.3,622859,95147,95,77489,88.7,41331,33327,2751,80,236128,270346,1832860,604317,95,466306,76.5,166810,261727,37429,340,1259163,206503,262544,622776,94.3,476129,72.1,166812,271531,37442,344,1281749,194092,242417,126110,26.5,125324,28.1,64490,37.5,36790,47.5,53923,71249,921,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,6262150,N/A,N/A,6875359,N/A,6487475,N/A,3831510,N/A,3614026,N/A,2869014,N/A,2707782,N/A,4025170,2027480,209500,0,307146,2302376,4244138,21699,898072,1697182,273556,204,897874,1536359,273345,204,N/A,N/A,N/A,N/A,0,2435197,0,3831510,326825,0,171756,0,59323,103378,9055,0,540554,0,0,3799591,0,2853573,0,898047,1681794,273528,204,6827916,0,0,3831354,0,2868950,0,898053,1697157,273536,204,6875151,0,0,1132,0,1128,0,135,0,30,0,365,757,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,1974425,202762,256355,1578095,162061,1459237,189464,745195,76.5,682598,88.6,624078,64.1,575211,74.7,1134005,750920,89500,0,58220,612801,905249,1825,223272,345789,54439,578,223140,297121,54379,571,N/A,76.5,N/A,88.6,60,535337,69.5,745195,203884,95,175254,92.8,72262,92899,9782,311,488561,258627,1045190,727344,86.6,613342,73,223259,335077,54428,578,1548680,184409,235105,745052,81.1,624049,67.9,223261,345775,54435,578,1577926,171692,214834,211953,34,210962,36.7,163529,48.6,103738,59.2,93401,115002,3539,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,40605515,189059,235424,33545326,156187,31447948,182330,15976216,74.4,14823605,85.9,13592919,63.3,12703773,73.7,24129535,14207980,2268000,0,1393052,12533407,19499569,119298,4701043,7556920,1300145,34811,4699115,6671699,1298493,34466,N/A,74.4,N/A,85.9,58.4,11650874,67.5,15976216,4638886,95,3996169,88.9,1923928,1841840,210243,20158,11168078,248326,902879,15711152,84,13438348,71.9,4700285,7403974,1299314,34775,33113893,177117,217188,15968372,78.5,13591274,66.8,4700329,7556785,1299350,34810,33536549,164896,199653,4207154,31,4187878,33,3279169,44.2,2125051,53.2,1870560,2256130,76565,3899,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,108760,106294,163000,83463,81571,81101,121547,48370,47.3,47041,70.5,43062,42.1,42009,63,16120,80440,12200,0,12722,68272,2465,4,29940,1228,11891,3,29935,203,11868,3,N/A,47.3,N/A,70.5,31.7,31442,47.1,48370,3671,76.3,3411,70.9,2326,13,1072,0,6427,133562,2260180,48297,61,43053,54.4,29939,1228,11883,3,83382,105357,137424,48365,52.1,43058,46.4,29940,1228,11887,3,83458,89913,117172,3568,8.3,3565,8.5,1353,10.7,378,11.1,3236,13,319,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,18302055,172378,225574,13292446,125195,12325490,151913,6495858,61.2,5938767,73.2,5416054,51,5020559,61.9,10615375,6895080,791600,0,319398,5266688,7672834,33526,2057951,3047049,300901,10153,2057005,2653997,300439,9118,N/A,61.2,N/A,73.2,48.7,4779358,58.9,6495858,1399337,92.2,1223292,80.6,666272,520421,34362,2237,3282013,216355,1206500,6364885,70.8,5349473,59.5,2057873,2980716,300781,10103,13089298,145629,203625,6494273,65.2,5415815,54.4,2057899,3046950,300817,10149,13290660,133429,183740,1485824,27.4,1476557,29.4,1031142,39.3,586488,47.9,684960,781927,18059,878,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,281460,167049,245722,292246,173451,259303,226379,140656,83.5,122212,95,126842,75.3,112590,95,180380,78580,22500,0,11736,94014,186445,51,38213,78110,10516,3,38199,63880,10508,3,N/A,83.5,N/A,95,69.5,102848,89.8,140656,17002,95,15982,95,6554,8853,572,3,41956,261229,1752440,136958,95,125485,95,38212,76755,10515,3,287129,218655,214338,140644,92.1,126841,83,38212,78110,10516,3,292233,191301,184249,32078,25.3,31974,28.4,20533,46.1,9210,57.6,12268,19173,637,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,2963460,209303,265542,2236166,157936,2049384,183636,1243113,87.8,1124084,95,899564,63.5,830007,74.4,1779620,1061140,122700,0,58132,725087,1358883,94064,283766,540278,57373,18147,283148,471523,57206,18130,N/A,87.8,N/A,95,59.8,777192,69.6,1243113,305580,95,241601,90,99520,129615,11048,1418,610157,227291,1103920,1203858,95,882894,72.9,283714,523707,57337,18136,2181341,180111,244690,1241973,93.3,899388,67.6,283719,540193,57339,18137,2235562,168005,222707,161819,18,161148,19.4,118331,26.1,77947,32.3,51542,108597,1655,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,5631105,178478,231902,4610954,146144,4264837,175636,2045625,64.8,1860323,76.6,1859089,58.9,1705638,70.2,3247945,2104360,278800,0,170247,1852411,2587861,435,695643,1006570,156598,278,695432,853423,156508,275,N/A,64.8,N/A,76.6,55.2,1589497,65.5,2045625,541335,95,505683,91.5,265871,225382,14313,117,1411380,255244,1018370,1986480,74.2,1818272,67.9,695630,965770,156595,277,4510280,168528,210408,2045540,69.1,1859081,62.8,695639,1006568,156596,278,4610873,155803,190276,816075,43.9,811253,47.6,588682,61.3,366463,72.5,384452,420592,11018,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,2872500,160738,214548,2017709,112906,2015885,150567,930790,52.1,926961,69.2,825421,46.2,822914,61.5,1667840,1053860,150800,0,79566,831056,1104143,2944,315303,434484,74938,696,315276,432034,74916,688,N/A,52.1,N/A,69.2,42.8,762164,56.9,930790,269516,92.7,246230,84.7,113167,120845,11923,295,661335,227521,988234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311811,37.8,311794,37.9,230935,50.6,148110,60.2,136476,170787,4486,62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
