State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,611897975,184302,236931,500222330,150665,460223551,178202,241520561,72.7,219232193,84.9,204740321,61.7,187461696,72.6,359997275,222509200,29391500,0,17501026,190891698,291318945,510661,73147737,115189845,16265233,137506,73062889,98030208,16235127,133472,N/A,72.7,N/A,84.9,57.8,174734403,67.7,241520561,55658469,95,47915719,87.5,22853608,22695193,2308213,58705,130509675,238191,1116770,235109931,82.9,200881586,70.9,73142638,111341322,16260793,136833,489911859,172796,215822,241480397,77.3,204730406,65.6,73144600,115186044,16262294,137468,500174369,160176,195955,64475171,31.5,64192194,34.2,45118229,46.2,27104857,56.6,28709418,34759759,991941,14053,31645365,25149313,3222350,N/A,32449018,26728399,921636,13939,29588137,2027083,24154,5991,1770540,23349008,24398,5367,1031119,1318308,872056,867,59222,34000,1028,1714,93.5,6.4,0.1,0,7,92.8,0.1,0,32,40.9,27.1,0,61.7,35.4,1.1,1.8
Alaska,1322225,180744,239724,1015137,138766,925534,167802,473411,64.7,423349,76.8,410287,56.1,372484,67.5,732565,506560,83100,0,40794,395015,578479,849,150339,223048,36800,100,149942,185791,36657,94,N/A,64.7,N/A,76.8,51.6,339984,61.6,473411,85187,93,77057,84.1,42431,31112,3475,39,205343,224203,1443670,456849,75,401419,65.9,150334,214189,36796,100,989664,162539,217158,473349,69.6,410274,60.3,150336,223042,36796,100,1015062,149172,194312,136704,33.3,135787,36.5,89008,51.1,48410,62.8,62743,72204,1739,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,8046130,164100,210914,5549319,113178,5240605,137373,2849954,58.1,2669167,70,2321403,47.3,2195433,57.5,4358810,3305020,382300,0,162493,2439348,2947135,343,978748,1187729,154360,566,978273,1062323,154273,564,N/A,58.1,N/A,70,44.8,2070121,54.3,2849954,785688,92.5,675106,79.4,358476,280303,35957,370,1727248,203245,946785,2816569,67.3,2309060,55.1,978735,1175409,154350,566,5502860,131431,192175,2849605,61.8,2321342,50.4,978744,1187680,154352,566,5548922,120398,174581,591412,25.5,589777,26.9,477452,36.7,317492,47,288200,292541,10630,41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,4993320,165462,215448,3754611,124415,3466848,149585,1881140,62.3,1715233,74,1536411,50.9,1414927,61.1,2777280,1968940,247100,0,114529,1615807,2020603,3672,635988,792171,107183,1069,634863,672616,106650,798,N/A,62.3,N/A,74,48,1327051,57.3,1881140,483632,92.3,409421,78.2,229799,163810,15361,451,1097193,209435,953138,1839388,71.9,1515657,59.3,635976,771789,107059,833,3692260,144384,195261,1879665,66.4,1536239,54.3,635977,792128,107066,1068,3753073,132648,176484,441691,28.7,440321,31.1,336240,42.5,220158,53.8,216178,218507,6608,398,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,79510,167771,253742,74926,158098,59014,188333,40116,84.6,29856,95,32029,67.6,26477,84.5,58210,20700,600,0,549,19661,54715,1,8741,22730,558,0,8724,17196,557,0,N/A,84.6,N/A,95,66.5,25943,82.8,40116,2966,90.5,2706,82.6,1137,1544,25,0,6301,192221,2425560,36165,95,31941,86.5,8740,22643,558,0,70830,191863,215375,40113,93,32029,74.3,8741,22730,558,0,74923,173795,184435,3325,10.4,3315,12.5,1880,19.4,724,26.8,1016,2309,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,12537450,172248,222355,10336743,142013,9499496,168476,4858243,66.7,4384257,77.8,4123464,56.7,3784219,67.1,7247030,4703920,586500,0,340137,4124069,5851995,20542,1559774,2244279,313684,5727,1559099,1906241,313238,5641,N/A,66.7,N/A,77.8,53,3521383,62.5,4858243,1246033,95,1091218,83.4,531755,507304,49054,3105,3054818,233436,958057,4730534,76.2,4065509,65.5,1559735,2186619,313439,5716,10146764,163498,202019,4857538,70.9,4123175,60.2,1559756,2244243,313449,5727,10335897,150913,183057,1162746,28.2,1157815,30.6,847812,41.5,542633,49.7,511064,635847,15346,489,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,299170,N/A,N/A,276131,N/A,276129,N/A,134906,N/A,134904,N/A,127891,N/A,127890,N/A,155610,127460,16100,0,14081,118591,143427,32,49634,64846,13411,0,49634,64846,13410,0,N/A,N/A,N/A,N/A,0,116154,0,134906,3746,0,3587,0,1716,1676,195,0,8792,0,0,134904,0,127890,0,49634,64846,13410,0,276129,0,0,134904,0,127890,0,49634,64846,13410,0,276129,0,0,26106,20.4,26106,20.4,9240,32.5,1636,45.6,14854,10596,634,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,75862805,191998,247775,64690197,163722,58812055,192086,32416845,82,29088109,95,25970014,65.7,23456780,76.6,45262125,27068380,3532300,0,2184206,24517517,37972579,15895,9155327,14774059,2036037,4591,9129244,12295101,2028203,4232,N/A,82,N/A,95,61.8,21932211,71.6,32416845,6465166,95,5051565,86.5,2547583,2301479,201115,1388,14258563,244232,1299440,31480979,93.6,25413675,75.5,9154527,14219115,2035497,4536,63193958,187819,225472,32412036,87.3,25968829,69.9,9154980,14773590,2035668,4591,64684531,174218,204325,7985668,30.7,7949038,33.9,5062256,45.9,2831014,56,3606930,4239582,138746,410,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,10819755,187884,240481,9374761,162792,8562116,190302,4262561,74,3819362,84.9,3790915,65.8,3430144,76.2,6366895,3975360,477500,0,321139,3679778,5366251,7593,1380745,2110824,297250,2096,1376984,1755112,296026,2022,N/A,74,N/A,84.9,62.2,3224890,71.7,4262561,821392,95,749778,89,357621,364913,26503,741,2107210,250140,1284380,4111353,83.3,3691067,74.8,1380702,2011056,297221,2088,9122299,184809,219198,4262257,78.5,3790857,69.9,1380732,2110801,297228,2096,9374420,172751,199386,1465275,38.7,1458817,42.5,914981,57.6,515994,68.8,680055,765416,19613,191,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,7379305,206976,260032,6529401,183138,5959150,209988,3128940,87.8,2815529,95,2649289,74.3,2401162,84.6,4277185,2770920,331200,0,234686,2480680,3812834,1201,914982,1511800,222069,438,914489,1264457,221885,331,N/A,87.8,N/A,95,69.6,2234939,78.8,3128940,712212,95,595622,94.5,234353,339094,22076,99,1687646,267777,1170870,3035442,95,2591701,83.4,914687,1454591,221988,435,6376831,205310,237586,3127646,92.4,2648849,78.3,914774,1511648,221990,437,6527692,192923,218092,940949,35.5,937685,39.1,672100,52.5,382125,64.2,448265,480951,11717,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
