State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
District of Columbia,1590915,225422,275444,1263514,179032,1196797,207209,615813,87.3,570083,95,473965,67.2,444150,76.9,956355,566460,68100,0,34118,462366,766541,489,166238,270055,37332,340,166167,240367,37297,319,N/A,87.3,N/A,95,63.1,415439,71.9,615813,94634,95,77335,88.5,41261,33264,2731,79,234407,268375,1821460,597974,95,464544,76.2,166231,260661,37316,336,1241895,203671,260911,615732,93.2,473945,71.8,166233,270043,37329,340,1263394,191313,240909,118000,24.9,117538,26.5,61475,35.8,35668,46.1,50303,66804,876,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,6232500,N/A,N/A,6842545,N/A,6459846,N/A,3805829,N/A,3591497,N/A,2861096,N/A,2701869,N/A,3995920,2027080,209500,0,306119,2292260,4222557,21609,896568,1691796,272529,203,896373,1532973,272320,203,N/A,N/A,N/A,N/A,0,2430304,0,3805829,322965,0,171368,0,59178,103181,9009,0,536345,0,0,3775311,0,2846935,0,896544,1677686,272502,203,6797792,0,0,3805677,0,2861033,0,896550,1691771,272509,203,6842342,0,0,1099,0,1095,0,127,0,29,0,347,742,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,1966565,201955,255334,1564474,160663,1447679,187963,741038,76.1,679352,88.2,621891,63.9,573855,74.5,1120185,756880,89500,0,57973,607666,897020,1815,222777,344237,54301,576,222645,296400,54241,569,N/A,76.1,N/A,88.2,59.7,533431,69.3,741038,203439,95,175050,92.7,72169,92799,9772,310,486255,257406,1041030,723862,86.2,611830,72.9,222764,334200,54290,576,1536425,182950,234169,740897,80.6,621862,67.7,222766,344223,54297,576,1564307,170210,213979,204599,32.9,203912,35.5,159417,47.5,102096,58.3,90209,110962,3418,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,40601025,189038,235398,33172989,154453,31118764,180422,15887600,74,14754441,85.5,13541346,63,12668796,73.5,23930945,14411780,2258300,0,1386436,12404913,19263150,118490,4691357,7518219,1297155,34615,4689440,6649566,1295510,34280,N/A,74,N/A,85.5,58.1,11601299,67.3,15887600,4624059,95,3990467,88.7,1921724,1838776,209880,20087,11089466,246578,902779,15637530,83.6,13400052,71.7,4690605,7378540,1296326,34581,32770605,175281,217164,15879793,78.1,13539703,66.6,4690644,7518085,1296360,34614,33164250,163065,199631,3991202,29.5,3977645,31.4,3154875,42.6,2070991,51.9,1780986,2133218,73200,3798,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,108760,106294,163000,83463,81571,81101,121547,48364,47.3,47035,70.5,43060,42.1,42007,63,16120,80440,12200,0,12722,68272,2465,4,29939,1227,11891,3,29934,202,11868,3,N/A,47.3,N/A,70.5,31.7,31440,47.1,48364,3670,76.3,3411,70.9,2326,13,1072,0,6427,133562,2260180,48291,61,43051,54.4,29938,1227,11883,3,83382,105357,137424,48359,52.1,43056,46.4,29939,1227,11887,3,83458,89913,117172,3564,8.3,3561,8.5,1351,10.7,377,11.1,3234,11,319,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,18269605,172072,225174,13075011,123147,12139046,149615,6439993,60.7,5897914,72.7,5377295,50.6,4992805,61.5,10522725,6958480,788400,0,317036,5191370,7552308,14297,2048912,3024136,299708,4539,2047976,2641325,299246,4258,N/A,60.7,N/A,72.7,48.3,4747102,58.5,6439993,1395606,92,1218963,80.4,663782,518792,34266,2123,3250218,214259,1204360,6319654,70.3,5318701,59.2,2048836,2965754,299588,4523,12891194,143425,203264,6438472,64.6,5377062,54,2048860,3024039,299624,4539,13073294,131247,183414,1369374,25.5,1364037,27.3,971708,37.2,563933,46.3,632545,719496,16871,462,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,279120,165661,243679,291338,172912,258645,225804,140416,83.3,122073,95,126582,75.1,112472,95,178040,78580,22500,0,11674,93725,185888,51,38178,77919,10482,3,38164,63831,10474,3,N/A,83.3,N/A,95,69.3,102732,89.7,140416,16991,95,15977,95,6552,8852,570,3,41869,260687,1737870,136807,95,125333,95,38177,76672,10481,3,286418,218114,212556,140404,91.9,126581,82.9,38177,77919,10482,3,291325,190706,182717,31629,25,31534,28,20320,45.7,9137,57.2,12055,18965,609,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,2958440,208948,265092,2202894,155586,2022107,181192,1219631,86.1,1105668,95,894261,63.2,825423,74,1769300,1066440,122700,0,57656,710795,1340379,94064,281697,537459,56958,18147,281081,469421,56791,18130,N/A,86.1,N/A,95,59.4,772795,69.2,1219631,302016,95,240810,89.7,99107,129341,10944,1418,604877,225324,1102050,1184360,95,877939,72.5,281645,521236,56922,18136,2152427,177724,244275,1218492,91.6,894085,67.2,281650,537374,56924,18137,2202291,165505,222330,157428,17.6,156888,19,115946,25.7,76926,31.9,49366,106430,1607,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,5611775,177865,231106,4556310,144412,4219302,173760,2035520,64.5,1853432,76.3,1851080,58.7,1701766,70.1,3222835,2110540,278400,0,169444,1832065,2554371,430,694382,1000255,156170,273,694171,851245,156080,270,N/A,64.5,N/A,76.3,54.9,1583195,65.2,2035520,540584,95,505251,91.4,265657,225191,14288,115,1403308,253784,1014870,1978888,73.9,1813791,67.8,694369,962983,156167,272,4461686,166712,209686,2035447,68.8,1851072,62.5,694378,1000253,156168,273,4556241,153956,189623,779843,42.1,776743,45.6,571238,59.6,359670,71.2,368767,400390,10675,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,2878770,161089,215016,2007688,112346,2005884,149820,928594,52,924851,69.1,824055,46.1,821611,61.4,1654610,1073460,150700,0,79385,826342,1099038,2923,314860,433695,74809,691,314833,431307,74787,684,N/A,52,N/A,69.1,42.7,760513,56.8,928594,269159,92.6,246063,84.7,113080,120784,11906,293,659209,226789,990391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305096,37,305081,37.1,227176,49.8,146439,59.5,133195,167436,4405,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
